img_id_a,img_id_b,label
360054,415125,0
203029,606417,0
316710,682368,0
241239,37150,0
23401,583709,0
344694,588529,0
428545,538522,0
425398,530539,1
267553,405698,1
543522,90192,1
244249,90886,0
130664,449578,0
163030,637969,0
461282,461347,1
493793,560881,1
487550,667550,0
641799,680781,0
568787,660541,1
275003,602983,1
601792,666124,0
317842,541206,0
218681,672418,0
203160,485718,0
471265,512332,0
217868,325352,0
609037,650115,1
166211,97833,0
660541,678155,0
169292,463587,0
385895,589942,1
384482,680326,0
195157,456657,0
398781,610188,0
240984,679512,0
239156,291465,1
423293,584696,0
130141,161333,1
256647,575706,1
291015,75749,0
300594,546260,0
367142,524698,0
122768,654583,0
458587,591324,0
187673,222667,1
355644,362278,0
159388,391570,0
419599,503472,0
483516,524830,0
480165,612175,0
327627,660119,0
160873,480606,0
213951,629618,1
207312,422129,0
163129,596215,1
314024,591300,1
643055,683398,0
592541,641870,1
395828,521104,1
402095,624693,0
108332,230633,0
135035,666422,0
367503,600529,1
550432,667891,0
257768,354787,0
130149,548901,0
209484,544925,0
287250,524830,0
365080,444674,0
289362,680927,0
524220,614481,0
275068,561431,0
207764,612861,0
161383,345027,1
150643,610421,0
47441,576966,0
239156,649359,0
465773,625700,1
236940,356681,0
652915,674209,0
355644,405751,0
484308,648852,0
648336,679458,1
325705,326925,1
398608,521109,0
41182,629618,1
480596,583708,0
171570,226841,0
410523,628279,0
335913,648830,0
613808,642001,0
314677,461568,0
513503,680772,0
584189,609528,0
543769,667587,0
368776,589476,0
599111,619410,1
380821,479462,0
391955,524152,0
264172,483921,1
133548,546192,0
15381,39768,0
375039,631673,0
173432,487198,0
641813,682968,0
345827,395811,0
341536,546263,0
222422,8696,0
143111,658825,0
343295,636030,1
126996,81474,0
36698,607280,0
343762,592543,1
372245,590872,0
146193,381202,1
643387,76422,0
341550,440082,0
134114,629343,0
287726,476087,0
136127,395805,1
561247,594506,1
558394,619577,0
592540,677550,1
259878,592575,1
593684,647254,0
216946,60641,0
589219,590819,0
568947,618433,1
590483,610205,0
584697,600522,1
177272,609505,0
293236,367837,0
320123,553514,0
591434,672328,0
270163,647863,0
247326,364065,0
282459,660696,0
56289,674619,0
184309,461451,0
503072,675939,0
392282,554133,1
381430,542255,0
117975,259859,0
206141,64487,1
264718,335741,1
239156,259801,0
561246,640837,0
581890,596440,1
50430,54892,1
328732,395240,0
229151,657081,0
236922,583654,0
466953,97584,1
433915,610228,0
368409,592575,0
505822,551198,0
265377,360995,0
283643,305626,0
226613,496526,0
322070,550976,0
322152,551693,0
216935,506431,0
175754,663679,1
637969,674261,0
646030,648336,0
573218,615232,0
381282,658026,0
422884,515397,0
267843,576727,0
553514,665152,1
541927,665853,0
132378,266873,0
355911,612207,0
430079,681424,0
376542,392282,1
399800,563844,0
120570,121773,1
395816,95036,1
481669,97839,0
508359,625076,0
402060,592576,1
354783,630921,0
112409,480738,0
365080,625930,0
158549,244919,0
313743,625601,0
429866,454920,0
189709,612431,0
675121,73260,0
395793,602625,0
217748,377404,0
204674,424607,1
187451,588902,0
643055,677398,0
116156,41182,0
395233,498048,1
130934,98611,0
128941,557369,0
208420,339202,0
353796,459165,0
201540,356258,0
331371,475509,0
508715,679515,0
634355,652356,1
389455,414533,0
17274,625042,1
322074,339018,1
309734,314476,0
360045,394251,0
276155,69205,0
356711,75776,1
314029,642115,1
340811,591302,1
476080,634222,1
440357,648366,0
258477,579074,0
312596,658812,0
187371,361076,0
17407,309698,0
407387,566091,0
130141,386976,1
524830,683839,0
519374,671657,0
647260,667232,0
169566,627457,0
