img_id,ring,code,source
100009,NL10-1031384,F5545:2|F5781:2|F5820:2|F5998:2,structured
100201,NL09-1331076,,fallback
100205,NL09-1331087,,fallback
10045,B01-6366746,F2776|F2777|F2859,fallback
100459,,F1153,fallback
100460,B07-6110398,F3599:1|F4012:2|F4041:2,structured
100510,B2003-6476030,F2776|F2777|F2861|F3322|F3352,fallback
100535,,,fallback
100583,,,empty
100585,,,empty
100589,,F260|F628,fallback
100591,,,empty
100614,,F615|F897,fallback
100767,B05-6153324,F2593|F2594|F2859|F3087,fallback
100867,,,empty
100870,,,empty
100900,NL08-2020815,F7244:2,structured
100924,,F2734|F2865|F299|F3035|F3092,fallback
101010,,,fallback
101015,,,fallback
101048,,,empty
101069,,,fallback
101074,,,fallback
101103,,F80,fallback
101115,CHN2002-01-445232,,empty
101124,,,empty
101126,,,empty
101192,NL10-1083072,F7244:2|F3386:3|F5447:3|F7211:3,structured
10164,NL06-1195033,,fallback
101728,CHN10-15-259348,F2484:2|F2498:2|F4543:2|F4549:2,structured
101747,,F615|F897,fallback
101762,,,empty
101860,B09-5051566,,fallback
101911,,,empty
101924,,,fallback
101925,,,empty
101942,,,empty
102077,,,fallback
102111,B03-6266119,F2407|F2467|F639,fallback
102332,,,fallback
102335,CHN11-01-061771,F342,fallback
10259,,,fallback
10260,,,fallback
10261,,F2736,fallback
10262,,,fallback
10264,,,fallback
102658,,,fallback
102659,,,fallback
102660,,,fallback
102694,DV0964-04-96,F5137:1,structured
102696,,,fallback
102706,,F2407|F2940,fallback
102707,,F3202|F3307,fallback
102709,,,fallback
102710,,,fallback
102711,CHN08-12-169009,,fallback
102712,CHN05-12-009782,F4595:2|F5415:2|F5416:2|F7036:2,structured
102713,AU2001-GFL-961,,fallback
102714,,,fallback
102716,CU2001-03244,,fallback
102717,CHN08-09-013193,,fallback
102719,CHN08-09-592896,,fallback
102745,CHN09-15-205277,,fallback
102798,,,empty
102800,,,empty
102803,,,empty
102804,,,empty
102847,B10-5182723,F2752|F601|F80|F954,fallback
102963,B05-3185185,,fallback
103074,B09-2203703,,fallback
103085,B02-6034130,,fallback
103099,B03-5235916,F2601,fallback
103100,B02-2142860,F2601,fallback
103224,CHN04-09-000056,,empty
103245,CHN08-09-125828,,empty
103380,CHN29-10-050406,,empty
103403,CHN29-10-178892,,empty
103442,,,empty
103443,,F217|F2753,fallback
103570,CHN2002-16-122886,,empty
103631,,,fallback
10379,,,fallback
103833,,F2417|F2627|F2636|F2687,fallback
103892,,,empty
103905,,,empty
103909,,,empty
103910,,,empty
103911,,,empty
103913,,,empty
103919,,,empty
103920,,,empty
103976,TF07-549259,F2477|F2710,fallback
103979,CHN2016-32-0552821,,fallback
103990,,,fallback
104012,,,empty
104014,,,empty
104084,BELG2009-6222923,F640:2,structured
104100,CC2010-428739,F2405:2|F2465:2|F6762:2|F6796:2,structured
104103,CHN10-15-187624,F3122:2|F5405:2,structured
10414,,,empty
104537,,F3027,fallback
104653,,,empty
104658,AU2007-408,,fallback
10466,B03-6097248,F132|F2517|F2518|F2642|F2657|F2674,fallback
104744,CHN1998-09-011270,,empty
104745,CHN1998-09-018729,,empty
104751,CHN2003-10-209847,,empty
104758,CHN2004-10-289252,,empty
104768,CHN2004-10-300473,,fallback
104854,CHN2005-10-548306,,fallback
104855,CHN2005-10-548307,,fallback
104963,,,empty
10497,B03-6096152,F3289,fallback
105026,CHN2009-12-017646,,empty
105041,CHN2009-12-017786,,empty
105125,CH2010-20-007929,,fallback
105407,NL09-1647015,,fallback
105408,B10-4258635,,fallback
105409,B10-4258636,,fallback
105411,,F2501|F342,fallback
105430,B10-4258661,,fallback
105431,B10-4258662,,fallback
105501,NL06-1078025,F5639:1|F5797:1,structured
105503,NL06-5629123,,fallback
105506,,F2403|F2426|F2797|F2878|F3326,fallback
105578,B05-5124315,F85:1|F462:1,structured
10558,B00-6340079,F2517|F2642|F2657|F2674,fallback
105765,CHN10-03-021453,F314,fallback
105915,NL10-1823006,,fallback
105941,CHN2010-01-868817,,fallback
105951,CHN18-2009-027466,,fallback
106047,BELG2009-6250000,,fallback
106059,BELG2006-6270255,,fallback
106064,BELG2009-6248565,,fallback
10610,,,fallback
106333,,F3235|F342|F625,fallback
106470,BELG2009-4331013,F224|F2577|F3262|F3269|F54|F573,fallback
10649,B03-6042169,F2460|F3293,fallback
10650,B04-6431023,F2883:2|F3343:2,structured
106502,NL17-1073517,F6336:2|F6484:2|F5914:3|F5919:3|F6070:3|F6196:3,structured
10651,B03-6042039,F2441:2|F2459:2|F2926:2|F3291:2,structured
106511,,,fallback
106515,,F604,fallback
10653,B00-6098324,F2479:2|F2696:2|F2698:2|F2850:2,structured
10658,B04-6035128,F2590:2|F2695:2|F2765:2|F2931:2,structured
10666,B04-6035145,,fallback
106688,DV02065-13-201,,fallback
106693,DV02065-13-236,,fallback
106694,DV02065-13-204,,fallback
106737,BELG2010-6052565,F1349|F1507,fallback
106742,BELG2010-6052564,F1349|F1507,fallback
106744,BELG2010-6052567,F1192|F1515,fallback
106807,BELG06-2082408,,fallback
106814,NL05-2208939,,fallback
106815,DV01769-14-35,,fallback
106819,DV01769-14-786,,fallback
106825,DV01769-14-725,,fallback
106829,DV01769-14-743,,fallback
10685,B04-6430750,F132|F2517|F2518|F2642|F2657|F2674|F3086,fallback
106932,NL06-1597645,F2528:1,structured
107109,,F342,fallback
107113,,F2688|F342,fallback
107114,,F342,fallback
107118,,F1298|F2501|F342,fallback
107119,,F2501|F342,fallback
107216,BELG05-2142768,,fallback
107327,DV01769-14-797,,fallback
107386,CHN08-09-188667,,empty
107404,CHN10-16-126187,,empty
107418,CHN10-32-545973,,empty
107467,CHN2010-08-259000,F2521|F2592,fallback
107471,NL1999-1870691,,fallback
107572,BELG06-3118150,,fallback
107576,BELG03-3131141,F2676|F35,fallback
107584,BELG04-3204401,F3000|F342,fallback
10764,NL06-1597236,F5041:2|F5446:2,structured
10765,B06-6334256,F2608:2|F2662:2|F2884:2|F3314:2,structured
107770,,,empty
107779,BELG05-4325754,F2577|F3011|F3269|F573,fallback
107786,BELG05-4274511,F2577|F3011|F3269|F573,fallback
108048,B07-4378473,F2752:2|F2916:2|F3126:2,structured
108058,BELG2013-6026405,,fallback
108059,,,fallback
108061,NL17-1875022,,fallback
108067,NL2010-1082810,,fallback
108068,NL2010-1082969,,fallback
108069,,F3116,fallback
108073,B10-6052077,F1658,fallback
108074,B2010-4323332,,fallback
108075,,,fallback
108076,,F2123|F2273|F2278|F2279|F2280|F2294|F2298|F2317,fallback
108078,,,fallback
108084,,,fallback
108092,BEL07-6399031,F2457:2|F2607:2|F4152:2|F4154:2,structured
108105,,,fallback
108144,B2004-6293186,F2858,fallback
108218,NL2011-1737011,F6531:2|F6542:2|F6600:2|F6605:2,structured
108260,BELG2013-4050274,F1733|F2577|F2752|F913,fallback
108261,BELG2013-4050340,F2752,fallback
108265,,,fallback
108266,,,fallback
108267,B14-2041177,F3524:2|F3526:2|F3577:2|F4134:2,structured
108268,,F181|F3116|F370,fallback
108270,,F2753|F3269|F573,fallback
108271,,,fallback
108273,,,fallback
108274,,,fallback
108275,,F2577|F3269|F573,fallback
108319,BELG13-6310483,F847,fallback
108322,BELG13-6300533,F1769|F3308,fallback
108330,BELG13-6300546,F1161,fallback
108331,BELG13-6300550,F1163|F260|F3308,fallback
108332,BELG13-6310591,F3308|F994,fallback
108333,BELG13-6310599,,fallback
108334,BELG12-6225105,F3308,fallback
108335,BELG12-6225120,F3308,fallback
108341,BELG12-6225160,F1881|F3250,fallback
108348,BELG13-6096530,F1527,fallback
108353,BELG13-6096627,F1881,fallback
108357,BELG2013-4050441,,fallback
108490,NL12-1822137,,fallback
108526,B05-3224609,F3116,fallback
108636,NL2007-1129402,F6489:2|F6498:2|F6510:2|F6542:2,structured
108638,CHN2015-03-0887778,F6489:3|F6498:3|F6510:3|F6542:3,structured
108646,B10-4258561,,fallback
108650,B07-4349252,,fallback
108653,DV06720-07-753,,fallback
108786,,F2582,fallback
108787,,F2582,fallback
108817,CHN2018-08-0008822,,fallback
108818,NL1998-9821081,F2457,fallback
108912,NL03-1675010,F5450:1,structured
108984,BE2016-4065405,,fallback
108987,,,empty
108988,,,fallback
108990,,F3262,fallback
108992,B18-4220670,F913:2|F1926:2|F1964:2|F688:3|F2610:3,structured
108993,B07-6364322,F124:2|F2721:2|F2852:2|F3066:2,structured
108994,,F1757,fallback
108996,,F181|F3281|F86,fallback
108997,,,fallback
108998,,,fallback
108999,,,fallback
109001,,F331,fallback
109003,BE06-4371190,F2830|F3260,fallback
109006,B12-1994805,,fallback
109010,B13-1784969,,fallback
109161,,F1581|F3116|F737,fallback
109402,NL2007-2054472,,fallback
109511,,,fallback
109514,,,fallback
109515,,,fallback
109586,BELG2009-6248549,,fallback
109600,B08-3079294,,fallback
109638,BE2011-6330024,F455:3|F1036:3,structured
109639,CHN2017-08-0199999,,fallback
109640,BE2011-6332462,F1484,fallback
109646,,,fallback
109674,NL09-1674556,,fallback
109797,CHN2010-18-049980,,empty
109800,CHN2010-18-044420,,empty
109805,CHN2006-18-003077,,fallback
109810,CHN2019-08-0097777,F1518|F1921,fallback
109816,CHN10-32-261894,,empty
109817,CHN09-32-600511,,empty
109819,CHN09-32-601795,F83,fallback
109820,,,fallback
109905,B2007-2252188,F1235|F3269|F573,fallback
109927,B2009-4114859,,fallback
109952,,,fallback
109970,B2009-4114860,,fallback
110016,B2005-2004989,,fallback
110018,B2008-2241584,,fallback
110019,B2008-2197693,F2147,fallback
110020,B2009-2026905,,fallback
110021,B2007-4380865,,fallback
110024,NL2010-1271446,,fallback
110027,NL2008-1101757,,fallback
110085,NL08-1102719,,fallback
110114,,,fallback
110116,,,fallback
110117,,,fallback
110118,,,fallback
110137,NL2008-1537260,,fallback
110138,NL2008-1537315,F6496:2|F6542:2|F6566:2|F6605:2,structured
110154,B2002-5061014,,fallback
110224,B09-6240990,F2205:2|F2767:2|F2935:2|F3031:2,structured
110480,B06-6334290,F2606:2|F2728:2|F2789:2|F3049:2,structured
110486,B05-6445716,F2608:2|F2658:2|F2788:2|F3311:2,structured
11064,S05-30336,,fallback
110676,,,fallback
110705,B07-6390349,F268|F975,fallback
110706,B07-2015494,F2615,fallback
110707,B05-6166490,,fallback
110848,,F81,fallback
110849,CHN2006-03-303068,F81,fallback
110850,CHN2006-03-303042,F81,fallback
110879,CHN04-12-076949,,fallback
111065,,,empty
111074,,,empty
111079,,,empty
111081,,,empty
111087,,F217|F2753|F3269|F573,fallback
111091,BELG2007-4138819,,empty
111110,NL2008-1489640,,fallback
111137,NL08-1569144,,fallback
