img_id,ancestor,contribution
100009,NL99-1612926,0.5
100009,NL04-1408253,0.25
100009,NL01-1866742,0.25
100009,NL00-1217817,0.5
100009,NL03-4774127,0.25
100009,NL05-4708743,0.25
100460,BE05-6221006,0.5
100460,BE94-6495178,0.5
100460,BE93-5188111,0.25
100460,BE86-6616231,0.25
100900,NL02-5255446,0.5
100900,NL99-2585526,0.25
101192,NL08-2020822,0.5
101192,NL05-1909293,0.25
101192,BE00-6367184,0.125
101192,NL02-5255446,0.625
101192,NL99-2585526,0.3125
101192,NL04-5435151,0.25
101192,NL00-1122178,0.125
101192,NL99-1585505,0.125
101728,CC08-080133,0.5
101728,CC00-179370,0.25
101728,CC03-260036,0.25
101728,CC02-286352,0.5
101728,B88-28221,0.25
101728,B88-8901,0.25
102694,DV01769-98-919,0.5
102712,CHN04-12-209217,0.5
102712,NL96-9613089,0.25
102712,CHN03-12-009637,0.25
102712,GF99-195,0.5
102712,LN94-9418179,0.25
102712,LN93-9323197,0.25
104084,B97-6165917,0.5
104084,B03-6266353,0.25
104100,TW93-238804,0.5
104100,B86-9122830,0.25
104100,NL88-2692608,0.25
104100,TW93-103725,0.5
104100,B82-5000628,0.25
104100,NL82-1325105,0.25
104103,B88-6717673,0.5
104103,GL93-3993,0.25
104103,B98-3200237,0.25
105501,NL04-0447254,0.5
105501,NL02-1644564,0.5
105578,B02-6455413,0.5
105578,B00-5244099,0.5
10650,B00-6190647,0.5
10650,B99-6493886,0.25
10650,B95-6637863,0.25
106502,NL16-1331180,0.5
106502,NL11-1521612,0.25
106502,NL05-1243818,0.125
106502,NL08-1291712,0.125
106502,NL08-1291700,0.25
106502,NL06-1967847,0.125
106502,NL05-1234823,0.125
106502,NL16-1330276,0.5
106502,NL15-1502891,0.25
106502,NL10-1856406,0.25
10651,B01-6041061,0.5
10651,B99-6047027,0.25
10651,B96-6086151,0.25
10651,B93-6057630,0.5
10651,B85-6567117,0.25
10651,B86-6475047,0.25
10653,B98-6084041,0.5
10653,B93-6057663,0.25
10653,B95-6054392,0.25
10653,B96-6086176,0.5
10653,B87-6360589,0.25
10653,B93-6057734,0.25
10658,B00-6098005,0.5
10658,B96-6086384,0.25
10658,B93-6057627,0.25
10658,B98-6084024,0.5
10658,B91-6183106,0.25
10658,B94-6081753,0.25
106932,B90-3119128,0.5
10764,NL04-1389374,0.5
10764,NL00-1122150,0.25
10764,D02098-03-1030,0.25
10765,B99-6560463,0.5
10765,B92-6682536,0.25
10765,B91-6685038,0.25
10765,B03-6471605,0.5
10765,B99-6185756,0.25
10765,B95-6647246,0.25
108048,B02-4247518,0.5
108048,B98-4184712,0.375
108048,B94-4407032,0.375
108048,B01-4178925,0.5
108048,B96-4391958,0.25
108048,B99-4393519,0.25
108092,B98-6589970,0.5
108092,B91-6680418,0.25
108092,BEL95-6274320,0.25
108092,BL98-6278036,0.5
108092,B86-6320969,0.25
108092,BEL92-6162746,0.25
108218,NL2006-4720774,0.5
108218,NL2000-5063949,0.25
108218,NL2004-5430805,0.25
108218,NL2007-1817846,0.5
108218,NL2004-2050252,0.25
108218,NL2000-1975952,0.25
108267,BE12-5015222100,0.5
108267,BE05-5220465,0.25
108267,BE04-5226586,0.25
108267,BE12-5015196,0.5
108267,BE99-5271731,0.25
108267,BE04-5065566,0.25
108636,NL2002-2173592,0.5
108636,NL2000-5063949,0.25
108636,NL1998-5821416,0.25
108636,NL1997-5700531,0.5
108636,NL1996-1434375,0.25
108636,NL1987-1055610,0.25
108638,NL2007-1129401,0.5
108638,NL2002-2173592,0.25
108638,NL2000-5063949,0.125
108638,NL1998-5821416,0.125
108638,NL1997-5700531,0.25
108638,NL1996-1434375,0.125
108638,NL1987-1055610,0.125
108638,B2008-6340442,0.5
108912,NL00-1148553,0.5
108992,B16-6065083,0.5
108992,B12-4186291,0.25
108992,B05-4045392,0.25
108992,B15-2300729,0.5
108992,B13-2006114,0.25
108992,B09-5163265,0.25
108992,B92-2195255,0.125
108992,B04-2116092,0.125
108993,B05-6170855,0.5
108993,B00-6254332,0.25
108993,B97-6420763,0.25
108993,B03-6095358,0.5
108993,B93-6499550,0.25
108993,B95-6189656,0.25
109638,B10-6357722,0.5
109638,B07-6229162,0.25
109638,B02-6354135,0.125
109638,B05-6451851,0.125
110138,NL2006-4720774,0.5
110138,NL2000-5063949,0.25
110138,NL2004-5430805,0.25
110138,NL2003-1135475,0.5
110138,NL2002-1635264,0.25
110138,NL1995-1941948,0.25
110224,B2006-6185559,0.5
110224,B2002-6051523,0.25
110224,B97-6101002,0.25
110224,B2004-6208297,0.5
110224,B94-6093587,0.25
110224,B96-6100246,0.25
110480,B04-6467380,0.5
110480,B97-6270413,0.25
110480,B94-6434172,0.25
110480,B97-6600148,0.5
110480,B93-6631866,0.25
110480,B91-6680124,0.25
110486,B01-6263147,0.5
110486,B99-6185566,0.25
110486,B91-6685038,0.25
110486,B01-6523833,0.5
110486,B94-6434010,0.25
110486,B92-6606146,0.25
112077,NL2006-4720774,0.5
112077,NL2000-5063949,0.25
112077,NL2004-5430805,0.25
112077,NL2004-2050221,0.5
112077,NL2001-1886692,0.25
112077,NL1993-2696113,0.25
112079,NL2010-1681846,0.5
112079,NL2008-1537225,0.25
112079,NL2001-1886692,0.1875
112079,NL2002-1635193,0.125
112079,NL1993-2696113,0.0625
112079,NL2005-1441789,0.25
112079,NL1999-2411769,0.125
112079,NL1999-2411761,0.125
112079,B2008-6340442,0.5
112093,NL07-5711981,0.5
112093,NL05-1191690,0.5
112289,NL2002-1635264,0.5
112289,NL1998-1215809,0.5
112289,NL1995-1942000,0.25
112289,NL1993-2696143,0.25
112699,B06-6056065,0.5
112699,B03-6485765,0.25
112699,B91-6227405,0.125
112699,B97-6592444,0.125
112699,B00-6553131,0.25
112699,B95-6274330,0.125
112699,BE95-6274317,0.125
112699,B04-6293191,0.5
112699,B90-630670,0.25
112699,B94-6241201,0.25
112735,NL2010-1681876,0.5
112735,NL2009-1186097,0.25
112735,NL2006-4720774,0.125
112735,NL2000-5063949,0.125
112735,NL2004-5430805,0.0625
112735,NL2000-1975952,0.125
112735,NL2003-1135371,0.25
112735,NL1996-2279515,0.125
112735,NL2001-1886591,0.125
112735,CHN2015-03-0887777,0.5
112735,NL2007-1129401,0.25
112735,NL2002-2173592,0.125
112735,NL1998-5821416,0.0625
112735,NL1997-5700531,0.125
112735,NL1996-1434375,0.0625
112735,NL1987-1055610,0.0625
112735,B2008-6340442,0.25
112868,NL2013-1239517,0.5
112868,NL2007-1817923,0.25
112868,NL2003-1135475,0.25
112868,NL2002-1635264,0.125
112868,NL1995-1941948,0.125
112868,NL2009-1186402,0.5
112868,NL2004-2050252,0.25
112868,NL2001-1886550,0.25
113862,CHN2007-04-176460,0.5
113862,BELG2005-6378066,0.5
113863,CHN2005-04-179190,0.5
113863,BELG2005-6378066,0.5
114143,CHN05-02-023608,0.5
114143,CC2002-1043,0.5
114143,B88-6717673,0.25
114143,GL93-3993,0.125
114143,B98-3200237,0.125
114143,B88-6725723,0.25
114719,CHN02-09-120188,0.5
114778,NL99-9964496,0.5
114778,NL93-1125375,0.5
114917,BELG2007-4115066,0.5
114917,BELG2005-43215172,0.25
114917,BELG2004-4277483,0.25
114917,BELG1997-4237625,0.125
114917,BELG1991-4261261,0.125
114917,BELG2007-4369817,0.5
114917,BELG2001-4483214,0.25
114919,BELG2008-4254890,0.5
114919,BELG2002-4333309,0.25
114919,BELG2006-4271058,0.25
114919,BELG2004-4277483,0.5
114919,BELG1997-4237625,0.25
114919,BELG1991-4261261,0.25
115902,B93-6501300,0.5
116055,B00-2352683,0.5
116055,B08-2040296,0.5
116055,B04-5174902,0.25
11677,B02-00825411,0.5
11677,B99-01439857,0.25
11677,B99-6485734,0.25
11677,B98-6350218,0.5
11677,B00-0000006,0.25
11677,B86-6056506,0.25
116926,B00-6178839,0.5
116926,B97-6162118,0.25
116926,B97-6162340,0.25
117130,CHN03-10-475647,0.5
117130,CHN03-10-467758,0.5
118570,B02-4174127,0.5
118570,B02-4134569,0.5
118570,BELG1999-4066126,0.25
118570,BELG1994-4421785,0.25
118571,B97-4237817,0.5
118586,B02-4174127,0.5
118586,B02-4134569,0.5
118586,BELG1999-4066126,0.25
118586,BELG1994-4421785,0.25
121101,NL07-1203498,0.5
121101,NL06-5623780,0.5
12133,B01-6080659,0.5
12133,B99-3085120,0.25
12133,B96-6379868,0.25
12133,B98-6044236,0.5
12133,B91-3000847,0.25
12133,B96-4605777,0.25
12139,B04-6244764,0.5
12139,B00-6245150,0.25
12139,B00-6245149,0.25
