founder,code
AU00-45252,F0
AU02-220,F1
AU02-2586,F2
AU04-2911,F3
AU10-606,F4
AU2008-2897,F5
AU95-5448,F6
AU96-7210,F7
AU97-8427,F8
B00-0000006,F9
B00-2038018,F10
B00-2047531,F11
B00-2090217,F12
B00-2102302,F13
B00-2117109,F14
B00-2117204,F15
B00-2118791,F16
B00-2168778,F17
B00-2269906,F18
B00-2350660,F19
B00-2352683,F20
B00-2355442,F21
B00-2407581,F22
B00-2408294,F23
B00-2408355,F24
B00-3000606,F25
B00-3001593,F26
B00-3046596,F27
B00-3046639,F28
B00-3046679,F29
B00-3046702,F30
B00-3076245,F31
B00-3100558,F32
B00-3100879,F33
B00-3100967,F34
B00-3124013,F35
B00-3124016,F36
B00-3124739,F37
B00-3124769,F38
B00-3146009,F39
B00-3146013,F40
B00-3148002,F41
B00-3167720,F42
B00-3193872,F43
B00-3200601,F44
B00-3200623,F45
B00-3200640,F46
B00-3205376,F47
B00-3219661,F48
B00-3257134,F49
B00-3263991,F50
B00-3280282,F51
B00-3661909,F52
B00-4011501,F53
B00-4065848,F54
B00-4065880,F55
B00-4065892,F56
B00-4065903,F57
B00-4245501,F58
B00-4270014,F59
B00-4270039,F60
B00-4282578,F61
B00-4350316,F62
B00-4396479,F63
B00-4405033,F64
B00-4423432,F65
B00-4480783,F66
B00-450911810,F67
B00-4523840,F68
B00-4524218,F69
B00-4524220,F70
B00-4524228,F71
B00-5040327,F72
B00-5041682,F73
B00-5042000,F74
B00-5043769,F75
B00-5052722,F76
B00-5062000,F77
B00-5062351,F78
B00-5066651,F79
B00-5150456,F80
B00-5150509,F81
B00-5150519,F82
B00-5160743,F83
B00-51663342003,F84
B00-5244099,F85
B00-5261101,F86
B00-6032021,F87
B00-6032078,F88
B00-6032099,F89
B00-6032116,F90
B00-6032249,F91
B00-6098146,F92
B00-6098253,F93
B00-6140445,F94
B00-6141401,F95
B00-6141404,F96
B00-6141418,F97
B00-6141426,F98
B00-6141430,F99
B00-6141444,F100
B00-6144429,F101
B00-6145017,F102
B00-6155604,F103
B00-6155746,F104
B00-6156146,F105
B00-6156147,F106
B00-6156179,F107
B00-6156414,F108
B00-6156426,F109
B00-6156432,F110
B00-6175805,F111
B00-6175870,F112
B00-61759805,F113
B00-6178820,F114
B00-6190998,F115
B00-6212020,F116
B00-6243597,F117
B00-6243714,F118
B00-6245149,F119
B00-6245150,F120
B00-6249019,F121
B00-6249328,F122
B00-6249374,F123
B00-6254332,F124
B00-6263541,F125
B00-6272030,F126
B00-6272081,F127
B00-6272359,F128
B00-6272359231,F129
B00-6317338,F130
B00-6323426,F131
B00-6340067,F132
B00-6345097,F133
B00-6364742,F134
B00-6367002,F135
B00-6367195,F136
B00-6372967,F137
B00-6376276,F138
B00-6448062,F139
B00-6452332,F140
B00-6452409,F141
B00-6470319,F142
B00-6474388,F143
B00-6480508,F144
B00-6480541,F145
B00-6485603,F146
B00-6532153,F147
B00-6534281,F148
B00-6540682,F149
B00-6545658,F150
B00-6545684,F151
B00-6549276,F152
B00-6549576,F153
B00-6551430,F154
B00-6552037,F155
B00-6553598,F156
B00-6553775,F157
B00-6652466,F158
B00-9103534,F159
B01-1009002,F160
B01-1216728,F161
B01-2137148,F162
B01-2137266,F163
B01-2184326,F164
B01-2184334,F165
B01-2243097,F166
B01-2270233,F167
B01-2280127,F168
B01-2284761,F169
B01-2287659,F170
B01-2338048,F171
B01-2339226,F172
B01-2342677,F173
B01-3001627,F174
B01-3003333,F175
B01-3012376,F176
B01-3025114,F177
B01-3031001,F178
B01-3031007,F179
B01-3031030,F180
B01-3031065,F181
B01-3031071,F182
B01-3031189,F183
B01-3031244,F184
B01-3039281,F185
B01-3039321,F186
B01-3039398,F187
B01-3053364,F188
B01-3076022,F189
B01-3076050,F190
B01-3076093,F191
B01-3076095,F192
B01-3076096,F193
B01-3111106,F194
B01-3116171,F195
B01-3117018,F196
B01-3140119,F197
B01-3172930,F198
B01-3194365,F199
B01-3210044,F200
B01-3214932,F201
B01-3222013,F202
B01-3222067,F203
B01-3261283,F204
B01-3264205,F205
B01-3264206,F206
B01-3264249,F207
B01-3266509,F208
B01-3266512,F209
B01-3268904,F210
B01-4094502,F211
B01-4173515,F212
B01-4174057,F213
B01-4178971,F214
B01-42159653,F215
B01-4237509,F216
B01-4241981,F217
B01-4283220,F218
B01-4297604,F219
B01-4323439,F220
B01-4367114,F221
B01-4429827,F222
B01-4470488,F223
B01-4489665,F224
B01-4496345,F225
B01-4500335,F226
B01-5010600,F227
B01-5020444,F228
B01-5020494,F229
B01-5025766,F230
B01-5025782,F231
B01-5025955,F232
B01-5026308,F233
B01-5063253,F234
B01-5193595,F235
B01-5241982,F236
B01-5252141,F237
B01-5252507,F238
B01-5254685,F239
B01-5258506,F240
B01-6001301,F241
B01-6035628,F242
B01-6041059,F243
B01-6041448,F244
B01-6080646,F245
B01-6080660,F246
B01-6080717,F247
B01-6094045,F248
B01-6094302,F249
B01-6095777,F250
B01-6096237,F251
B01-6098509,F252
B01-6106054,F253
B01-6123140,F254
B01-6123187,F255
B01-6123470,F256
B01-6135021,F257
B01-6135408,F258
B01-6146101,F259
B01-6153558,F260
B01-6153628,F261
B01-6153803,F262
B01-6153818,F263
B01-6153949,F264
B01-6153998,F265
B01-6174063,F266
B01-6179214,F267
B01-6179283,F268
B01-6213118,F269
B01-6217661,F270
B01-6224005,F271
B01-6225246,F272
B01-6253991,F273
B01-6255015,F274
B01-6255055,F275
B01-6255185,F276
B01-6255233,F277
B01-6255457,F278
B01-6255577,F279
B01-6263002,F280
B01-6263023,F281
B01-6263182,F282
B01-6326421,F283
B01-6344997,F284
B01-6345099,F285
B01-6345101,F286
B01-6351574,F287
B01-6364383,F288
B01-6364730,F289
B01-6365158,F290
B01-6366694,F291
B01-6370331,F292
B01-6380134,F293
B01-6380137,F294
B01-6380175,F295
B01-6380371,F296
B01-6380378,F297
B01-6387167,F298
B01-6387351,F299
B01-6401491,F300
B01-6453447,F301
B01-6453477,F302
