img_id,literal_code,code_len
100009,F36887|F36423|F35938|F36513,4
100201,F37766,1
100205,F37767,1
10045,F881,1
100459,,0
100460,F12774|F12805|F10829,3
100510,F7932,1
100535,,0
100583,,0
100585,,0
100589,,0
100591,,0
100614,,0
100767,F2173,1
100867,,0
100870,,0
100900,F41779,1
100924,,0
101010,,0
101015,,0
101048,,0
101069,,0
101074,,0
101103,,0
101115,F22735,1
101124,,0
101126,,0
101192,F41779|F41714|F35714|F41779|F10520,5
10164,F36976,1
101728,F9356|F9340|F17172|F17166,4
101747,,0
101762,,0
101860,F3940,1
101911,,0
101924,,0
101925,,0
101942,,0
102077,,0
102111,F1437,1
102332,,0
102335,F19407,1
10259,,0
10260,,0
10261,,0
10262,,0
10264,,0
102658,,0
102659,,0
102660,,0
102694,F33974,1
102696,,0
102706,,0
102707,,0
102709,,0
102710,,0
102711,F18613,1
102712,F35633|F35634|F17536|F41429,4
102713,F163,1
102714,,0
102716,F33657,1
102717,F18528,1
102719,F18546,1
102745,F18943,1
102798,,0
102800,,0
102803,,0
102804,,0
102847,F4468,1
102963,F1994,1
103074,F3794,1
103085,F1061,1
103099,F1364,1
103100,F947,1
103224,F17617,1
103245,F18530,1
103380,F33494,1
103403,F33503,1
103442,,0
103443,,0
103570,F22780,1
103631,,0
10379,,0
103833,,0
103892,,0
103905,,0
103909,,0
103910,,0
103911,,0
103913,,0
103919,,0
103920,,0
103976,F42421,1
103979,F31127,1
103990,,0
104012,,0
104014,,0
104084,F1443,1
104100,F41051|F9235|F41094|F9316,4
104103,F10148|F35385,2
10414,,0
104537,,0
104653,,0
104658,F188,1
10466,F1398,1
104744,F22601,1
104745,F22602,1
104751,F22836,1
104758,F22951,1
104768,F22954,1
104854,F23114,1
104855,F23115,1
104963,,0
10497,F1397,1
105026,F24380,1
105041,F24383,1
105125,F17241,1
105407,F37832,1
105408,F4386,1
105409,F4387,1
105411,,0
105430,F4388,1
105431,F4389,1
105501,F36105|F36460,2
105503,F37126,1
105506,,0
105578,F566|F1160,2
10558,F634,1
105765,F19102,1
105915,F38180,1
105941,F24593,1
105951,F22468,1
106047,F14335,1
106059,F13908,1
106064,F14331,1
10610,,0
106333,,0
106470,F14269,1
10649,F1378,1
10650,F9813|F10461,2
106502,F38216|F39128|F36697|F37078|F37464|F36704,6
10651,F9310|F9288|F9875|F10394,4
106511,,0
106515,,0
10653,F9591|F9333|F9775|F9589,4
10658,F9673|F9465|F9588|F9880,4
10666,F1726,1
106688,F34024,1
106693,F34029,1
106694,F34025,1
106737,F14500,1
106742,F14499,1
106744,F14501,1
106807,F13151,1
106814,F36880,1
106815,F33951,1
106819,F33959,1
106825,F33955,1
106829,F33956,1
10685,F1852,1
106932,F9397,1
107109,,0
107113,,0
107114,,0
107118,,0
107119,,0
107216,F13099,1
