img_id,father,mother,pgf,pgm,mgf,mgm
606803,B05-6045278,B08-6372842,B01-6455003,B02-6113358,B03-6192634,B06-6148017
628381,,,,,,
602828,DV02098-08-2100,B10-6308948,DV02098-95-12,DV02098-99-1000,B04-6105159,B06-6401339
602992,DV02098-07-261,B839,DV02098-06-801,DV02098-99-1000,,
628379,,,,,,
603771,DV02098-08-520,DV02098-02-515,,,,
602983,NL04-1389504,NL07-1207701,NL97-2253103,NL97-2252940,,NL05-1937087
602995,DV02098-09-1900,DV02098-14-1341,DV02098-95-12,DV02098-99-1000,DV02098-05-550,DV07237-07-24
602824,DV02098-08-99,DV02098-13-778,DV02098-95-12,DV02098-07-333,DV02098-04-1330,NL06-1597789
602758,,,,,,
603391,,DV02098-12-500,DV02098-97-330,DV02098-02-330,DV02098-06-801,DV02098-99-1000
602851,DV02098-05-550,DV02098-08-569,DV02098-95-12,DV02098-93-665,NL01-4743641,B99-6552499
640523,,,,,,
639955,,,,,,
603794,NL11-1777584,NL11-1665915,NL10-2057880,NL10-2057866,NL09-1109309,NL08-1458714
603409,NL12-1909448,NL11-1058944,DV02098-08-1141,NL10-1985420,NL03-1602666,NL05-2107065
603390,DV04714-07-1919,DV04714-07-1912,B99-2190144,B00-5040327,DV00516-04-783,DV04077-04-640
602731,B12-4243351,B12-4243316,NL11-1394327,NL11-4227742,NL10-1164546,NL11-1237175
602825,DV7014-11-0555,DV7014-10-0470,DV7014-10-0432,DV7014-10-0435,DV6929-04-0505,
602830,NL08-2058318,NL98-1947990,NL99-1597310,NL02-1060823,NL90-5006027,NL96-2599498
602836,DV08456-14-520,DV08456-14-492,DV03801-13-199,DV08456-13-1114,DV1810-07-128,DV1810-12-545
602909,DV09212-03-245,,DV09799-91-297,NL00-1060583,,
602923,B12-6322937,B12-6122953,B05-6049767,B10-6345348,B03-6191874,B11-6093027
602910,DV9253-13-0357,DV9253-13-0138,DV1777-05-0817,DV9234-11-0190,DV9253-11-0392,DV1777-12-0235
613102,,,,,,
602989,NL12-1630096,NL07-2145108,NL11-1754365,NL10-1699654,B04-6389414,NL02-1638987
603185,NL06-5627552,NL10-1699603,NL95-1964438,NL04-2069222,NL06-5627522,NL07-2145108
602906,NL08-5820374,NL10-5015469,NL00-2475513,NL05-2206990,B04-6389414,NL04-2058035
602753,B04-3001781,NL06-1651438,B98-3158062,B003195099,B04-3001781,B96-3156136
602829,NL15-1273860,NL15-1847297,B04-3001781,B11-5060295,NL14-1209868,NL10-1882377
602915,B04-3001781,B11-5060295,B98-3158062,B003195099,B07-2103401,B09-2203218
602977,NL14-1210052,NL13-1395621,NL12-1783885,NL13-1394911,NL07-2007621,NL10-1083068
603179,B15-3147831,B14-3150682,B13-3056024,B07-3200000,B06-3008003,B09-3095175
603402,NL15-1850145,NL13-1394335,NL07-2007621,NL11-1522008,NL10-1864640,NL12-1783943
603415,B04-3001781,NL11-1237602,B98-3158062,B003195099,B04-3001781,NL02-2320271
603204,NL06-1557973,NL12-1039643,NL02-2215597,NL05-1896998,NL07-1155725,B08-6050162
602730,,,,,,
602729,,,,,,
602837,DV02098-12-594,DV02098-12-599,DV02098-07-261,DV02098-06-240,DV02098-07-261,DV02098-07-351
602847,DV02098-07-120,DV02098-08-444,DV02098-01-36,DV02098-03-1260,DV02098-95-12,DV02098-07-333
602925,DV02098-11-295,DV02098-13-567,DV02098-07-261,DV02098-06-240,DV02098-08-520,NL05-1937948
602832,DV02098-09-1881,DV02098-05-678,DV02098-02-555,DV02098-98-568,DV02098-02-555,B02-6433588
603174,DV09824-09-13,DV09824-09-631,DV00135-08-274,DV02098-05-756,DV02098-07-788,DV05308-07-237
602914,DV02098-03-1105,DV02098-09-2043,DV02098-95-12,DV02098-93-665,DV02098-01-36,NL07-1207701
602984,DV07259-12-569,DV02098-05-647,DV02098-06-469,DV02098-08-500,DV02098-02-555,B02-64335588
603164,DV02098-10-1578,DV02098-11-274,DV02098-07-261,DV02098-07-351,DV02098-07-261,DV02098-07-351
602993,DV03145-11-90,DV03145-10-29,DV03145-10-33,DV02098-04-1460,DV02098-03-1105,DV02098-09-2043
603009,DV02098-04-1380,DV02098-06-383,DV02098-97-330,B01-3025114,DV02098-97-330,B01-3025114
603180,DV03145-10-672,DV09460-09-525,DV02098-03-1070,DV07237-09-416,DV02098-98-1163,DV02098-01-13
612230,,,,,,
612227,,,,,,
