parent,child,role
B05-6045278,NL15-1273729,sire
B08-6372842,NL15-1273729,dam
B01-6455003,B05-6045278,sire
B02-6113358,B05-6045278,dam
B03-6192634,B08-6372842,sire
B06-6148017,B08-6372842,dam
DV02098-08-2100,DV02098-12-483,sire
B10-6308948,DV02098-12-483,dam
DV02098-95-12,DV02098-08-2100,sire
DV02098-99-1000,DV02098-08-2100,dam
B04-6105159,B10-6308948,sire
B06-6401339,B10-6308948,dam
DV02098-07-261,DV02098-13-340,sire
DV02098-06-801,DV02098-07-261,sire
DV02098-99-1000,DV02098-07-261,dam
DV02098-08-520,DV02098-12-554,sire
DV02098-02-515,DV02098-12-554,dam
NL04-1389504,DV02098-13-772,sire
NL07-1207701,DV02098-13-772,dam
NL97-2253103,NL04-1389504,sire
NL97-2252940,NL04-1389504,dam
NL05-1937087,NL07-1207701,dam
DV02098-09-1900,DV02098-15-149,sire
DV02098-14-1341,DV02098-15-149,dam
DV02098-95-12,DV02098-09-1900,sire
DV02098-99-1000,DV02098-09-1900,dam
DV02098-05-550,DV02098-14-1341,sire
DV07237-07-24,DV02098-14-1341,dam
DV02098-08-99,DV02098-15-155,sire
DV02098-13-778,DV02098-15-155,dam
DV02098-95-12,DV02098-08-99,sire
DV02098-07-333,DV02098-08-99,dam
DV02098-04-1330,DV02098-13-778,sire
NL06-1597789,DV02098-13-778,dam
DV02098-12-500,DV02098-16-1182,dam
DV02098-06-801,DV02098-12-500,sire
DV02098-99-1000,DV02098-12-500,dam
DV02098-05-550,DV02098-13-585,sire
DV02098-08-569,DV02098-13-585,dam
DV02098-95-12,DV02098-05-550,sire
DV02098-93-665,DV02098-05-550,dam
NL01-4743641,DV02098-08-569,sire
B99-6552499,DV02098-08-569,dam
NL11-1777584,NL15-1641705,sire
NL11-1665915,NL15-1641705,dam
NL10-2057880,NL11-1777584,sire
NL10-2057866,NL11-1777584,dam
NL09-1109309,NL11-1665915,sire
NL08-1458714,NL11-1665915,dam
NL12-1909448,NL14-1344739,sire
NL11-1058944,NL14-1344739,dam
DV02098-08-1141,NL12-1909448,sire
NL10-1985420,NL12-1909448,dam
NL03-1602666,NL11-1058944,sire
NL05-2107065,NL11-1058944,dam
DV04714-07-1919,DV03658-15-184,sire
DV04714-07-1912,DV03658-15-184,dam
B99-2190144,DV04714-07-1919,sire
B00-5040327,DV04714-07-1919,dam
DV00516-04-783,DV04714-07-1912,sire
DV04077-04-640,DV04714-07-1912,dam
B12-4243351,NL13-4240687,sire
B12-4243316,NL13-4240687,dam
NL11-1394327,B12-4243351,sire
NL11-4227742,B12-4243351,dam
NL10-1164546,B12-4243316,sire
NL11-1237175,B12-4243316,dam
DV7014-11-0555,DV7014-12-0211,sire
DV7014-10-0470,DV7014-12-0211,dam
DV7014-10-0432,DV7014-11-0555,sire
DV7014-10-0435,DV7014-11-0555,dam
DV6929-04-0505,DV7014-10-0470,sire
NL08-2058318,NL09-1579717,sire
NL98-1947990,NL09-1579717,dam
NL99-1597310,NL08-2058318,sire
NL02-1060823,NL08-2058318,dam
NL90-5006027,NL98-1947990,sire
NL96-2599498,NL98-1947990,dam
DV08456-14-520,DV08456-15-53,sire
DV08456-14-492,DV08456-15-53,dam
DV03801-13-199,DV08456-14-520,sire
DV08456-13-1114,DV08456-14-520,dam
DV1810-07-128,DV08456-14-492,sire
DV1810-12-545,DV08456-14-492,dam
DV09212-03-245,DV09212-11-1359,sire
DV09799-91-297,DV09212-03-245,sire
NL00-1060583,DV09212-03-245,dam
B12-6322937,NL14-1329916,sire
B12-6122953,NL14-1329916,dam
B05-6049767,B12-6322937,sire
B10-6345348,B12-6322937,dam
B03-6191874,B12-6122953,sire
B11-6093027,B12-6122953,dam
DV9253-13-0357,DV9253-14-0149,sire
DV9253-13-0138,DV9253-14-0149,dam
DV1777-05-0817,DV9253-13-0357,sire
DV9234-11-0190,DV9253-13-0357,dam
DV9253-11-0392,DV9253-13-0138,sire
DV1777-12-0235,DV9253-13-0138,dam
NL12-1630096,NL16-1884444,sire
NL07-2145108,NL16-1884444,dam
NL11-1754365,NL12-1630096,sire
NL10-1699654,NL12-1630096,dam
B04-6389414,NL07-2145108,sire
NL02-1638987,NL07-2145108,dam
NL06-5627552,NL16-1536248,sire
NL10-1699603,NL16-1536248,dam
