img_id,blood_id,blood_name
659194,B08-6174630,100%乔斯佛卡门
659208,B08-6174630,100%乔斯佛卡门
659210,B11-6282004,100%乔斯佛卡门
176832,BLG10-6052458,100%乔斯佛卡门
184279,BLG10-6052458,100%乔斯佛卡门
496369,2011-08-092861,100%乔斯托内拿破仑
496412,2011-08-092861,100%乔斯托内拿破仑
354438,2011-08-099715,100%乔斯托内拿破仑
354441,2011-08-099715,100%乔斯托内拿破仑
403011,2011-08-099715,100%乔斯托内拿破仑
403318,2011-08-099715,100%乔斯托内拿破仑
482279,2011-08-099715,100%乔斯托内拿破仑
496381,2011-08-116714,100%乔斯托内拿破仑
352124,2012-08-031841,100%乔斯托内拿破仑
352137,2012-08-031841,100%乔斯托内拿破仑
352148,2012-08-031841,100%乔斯托内拿破仑
352150,2012-08-031841,100%乔斯托内拿破仑
352153,2012-08-031841,100%乔斯托内拿破仑
354471,2012-08-031841,100%乔斯托内拿破仑
354479,2012-08-031841,100%乔斯托内拿破仑
354495,2012-08-031841,100%乔斯托内拿破仑
354509,2012-08-031841,100%乔斯托内拿破仑
482280,2012-08-031841,100%乔斯托内拿破仑
576060,2012-08-031841,100%乔斯托内拿破仑
576061,2012-08-031841,100%乔斯托内拿破仑
576063,2012-08-031841,100%乔斯托内拿破仑
576064,2012-08-031841,100%乔斯托内拿破仑
576490,2012-08-031841,100%乔斯托内拿破仑
576491,2012-08-031841,100%乔斯托内拿破仑
576492,2012-08-031841,100%乔斯托内拿破仑
576493,2012-08-031841,100%乔斯托内拿破仑
576512,2012-08-031841,100%乔斯托内拿破仑
576513,2012-08-031841,100%乔斯托内拿破仑
496407,B00-5234619,100%乔斯托内拿破仑
496083,B04-5206815,100%乔斯托内拿破仑
496084,B04-5206815,100%乔斯托内拿破仑
496454,B04-5206815,100%乔斯托内拿破仑
496455,B04-5206815,100%乔斯托内拿破仑
571907,B04-5206815,100%乔斯托内拿破仑
571908,B04-5206815,100%乔斯托内拿破仑
571909,B04-5206815,100%乔斯托内拿破仑
576213,B04-5206815,100%乔斯托内拿破仑
576214,B04-5206815,100%乔斯托内拿破仑
578094,B04-5206815,100%乔斯托内拿破仑
196431,2011-08-092861,100%乔斯托内拿破仑血统高辈分近血作出
195011,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
196423,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
196424,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
196434,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
205634,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
244846,2011-08-099715,100%乔斯托内拿破仑血统高辈分近血作出
186820,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
190202,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
191835,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
195243,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
196970,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
217201,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
217202,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
230908,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
230910,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
230911,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
232917,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
318987,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
318994,2012-08-031841,100%乔斯托内拿破仑血统高辈分近血作出
130943,2011-08-092861,100%乔斯托内黄金血统拿破仑系
124353,2011-08-099715,100%乔斯托内黄金血统拿破仑系
124535,2011-08-099715,100%乔斯托内黄金血统拿破仑系
124653,2011-08-099715,100%乔斯托内黄金血统拿破仑系
130893,2011-08-099715,100%乔斯托内黄金血统拿破仑系
130914,2011-08-099715,100%乔斯托内黄金血统拿破仑系
130916,2011-08-099715,100%乔斯托内黄金血统拿破仑系
130926,2011-08-099715,100%乔斯托内黄金血统拿破仑系
130934,2011-08-099715,100%乔斯托内黄金血统拿破仑系
135786,2011-08-099715,100%乔斯托内黄金血统拿破仑系
158747,2011-08-099715,100%乔斯托内黄金血统拿破仑系
120459,2012-08-031841,100%乔斯托内黄金血统拿破仑系
120570,2012-08-031841,100%乔斯托内黄金血统拿破仑系
