epoch,train_loss,val_loss,train_dice_fg,val_dice_fg,train_iou_fg,val_iou_fg,lr
1,1.353993,1.066627,0.430354,0.669928,0.326137,0.532906,0.00029993
2,0.960388,0.846267,0.685373,0.74142,0.54537,0.604133,0.0002997
3,0.818848,0.721641,0.756698,0.823382,0.619539,0.704242,0.00029933
4,0.73374,0.657931,0.791926,0.82943,0.662893,0.713708,0.00029882
5,0.663179,0.627324,0.821308,0.834688,0.701847,0.719806,0.00029815
6,0.622045,0.573474,0.829971,0.84666,0.713674,0.737821,0.00029734
7,0.59125,0.581491,0.834689,0.820283,0.720081,0.701613,0.00029639
8,0.574238,0.559,0.8338,0.830247,0.718843,0.714734,0.00029529
9,0.546241,0.532107,0.840976,0.834706,0.729381,0.721828,0.00029404
10,0.530212,0.51827,0.838029,0.834856,0.725722,0.721867,0.00029266
11,0.517336,0.515681,0.840507,0.83588,0.728396,0.723099,0.00029113
12,0.502968,0.506326,0.842416,0.826136,0.731826,0.710338,0.00028947
13,0.504766,0.469183,0.831045,0.843884,0.715912,0.735031,0.00028766
14,0.474767,0.46451,0.845937,0.831253,0.737122,0.719159,0.00028572
15,0.453414,0.456307,0.85085,0.850709,0.744542,0.744673,0.00028365
16,0.467606,0.488169,0.842736,0.808536,0.73306,0.689727,0.00028145
17,0.461999,0.441009,0.844562,0.842071,0.735057,0.732878,0.00027911
18,0.445311,0.449699,0.847677,0.846145,0.73954,0.738107,0.00027665
19,0.437943,0.481719,0.84987,0.811451,0.742868,0.692563,0.00027406
20,0.434348,0.453209,0.847558,0.82026,0.739426,0.704637,0.00027135
21,0.415712,0.408137,0.850107,0.857775,0.744058,0.755236,0.00026852
22,0.419804,0.430849,0.851713,0.843158,0.745274,0.734733,0.00026558
23,0.407448,0.402384,0.850471,0.853888,0.744403,0.749646,0.00026252
24,0.382687,0.404416,0.860477,0.853746,0.759355,0.748916,0.00025935
25,0.374567,0.40381,0.864688,0.847117,0.765405,0.740752,0.00025607
26,0.36822,0.434641,0.865711,0.823519,0.767073,0.709178,0.00025268
27,0.369027,0.452343,0.865849,0.8309,0.767388,0.715169,0.0002492
28,0.373081,0.393843,0.861055,0.858971,0.76016,0.756771,0.00024561
29,0.390524,0.390686,0.856552,0.853709,0.752868,0.749457,0.00024194
30,0.374813,0.393181,0.863199,0.848381,0.762989,0.742571,0.00023817
31,0.347507,0.393821,0.874267,0.848512,0.779804,0.742982,0.00023431
32,0.34489,0.421971,0.870736,0.839397,0.774745,0.727797,0.00023037
33,0.369472,0.446046,0.858647,0.818869,0.756691,0.701697,0.00022636
34,0.35792,0.425531,0.867878,0.830182,0.76999,0.71784,0.00022226
35,0.340809,0.389046,0.871552,0.850239,0.776409,0.744907,0.0002181
36,0.330418,0.385492,0.87947,0.847957,0.787766,0.741303,0.00021387
37,0.315987,0.37281,0.879744,0.852644,0.788647,0.748963,0.00020957
38,0.30731,0.385194,0.885147,0.852457,0.796819,0.747196,0.00020522
