img_id,x1,y1,x2,y2,confidence
100008,0,0,0,0,0.0
100009,1296,434,2541,1637,0.819406
100010,0,0,0,0,0.0
100201,53,35,332,287,0.718527
100205,43,34,342,293,0.755376
10037,0,0,0,0,0.0
10038,0,0,0,0,0.0
10045,10,12,356,321,0.825604
100459,623,47,958,332,0.79467
100460,31,28,359,325,0.790533
100463,0,0,0,0,0.0
100510,669,0,1200,498,0.800511
100535,583,447,847,656,0.768557
100583,694,58,1186,499,0.811082
100585,673,72,1160,507,0.804361
100589,10,328,232,535,0.78781
100591,21,301,279,545,0.810603
100614,7,292,289,561,0.816212
100767,5,43,454,458,0.782782
100867,552,35,972,427,0.828621
100870,33,42,460,427,0.812478
100900,1292,556,1668,899,0.740114
100924,631,21,926,280,0.7944
101010,498,0,900,346,0.816468
101011,0,0,0,0,0.0
101014,0,0,0,0,0.0
101015,501,9,900,339,0.790026
101018,0,0,0,0,0.0
101023,0,0,0,0,0.0
101048,550,48,970,426,0.807215
101069,545,44,973,418,0.806507
101074,549,45,971,429,0.813604
101103,63,54,327,299,0.715667
101115,294,7,496,189,0.820377
101117,0,0,0,0,0.0
101120,0,0,0,0,0.0
101124,295,8,492,174,0.800375
101125,0,0,0,0,0.0
101126,341,11,494,144,0.710463
101187,0,0,0,0,0.0
101188,0,0,0,0,0.0
101192,1242,446,1607,774,0.786858
101203,0,0,0,0,0.0
101207,0,0,0,0,0.0
101213,0,0,0,0,0.0
101298,0,0,0,0,0.0
101304,0,0,0,0,0.0
101319,0,0,0,0,0.0
101324,0,0,0,0,0.0
101326,0,0,0,0,0.0
101330,0,0,0,0,0.0
101336,0,0,0,0,0.0
101340,0,0,0,0,0.0
101341,0,0,0,0,0.0
101587,0,0,0,0,0.0
10163,0,0,0,0,0.0
10164,1114,38,1655,496,0.701627
101647,0,0,0,0,0.0
101728,48,227,434,588,0.796181
101731,0,0,0,0,0.0
101732,0,0,0,0,0.0
101747,10,290,289,560,0.81409
101750,0,0,0,0,0.0
101758,0,0,0,0,0.0
101762,8,291,290,563,0.815397
101833,0,0,0,0,0.0
101860,0,370,257,583,0.718413
101879,0,0,0,0,0.0
101911,544,43,972,432,0.809237
101924,34,40,459,427,0.814857
101925,549,41,971,421,0.811793
101942,546,43,975,431,0.814607
101980,0,0,0,0,0.0
102056,0,0,0,0,0.0
102077,631,6,995,345,0.829902
102111,894,511,1257,832,0.767873
102332,23,842,859,1637,0.809902
102335,894,467,1270,828,0.790636
102512,0,0,0,0,0.0
10259,505,222,762,452,0.767725
10260,487,223,750,440,0.736127
10261,488,215,748,448,0.778154
10262,535,47,764,261,0.764188
10264,497,220,756,447,0.776222
102658,26,55,413,410,0.817084
102659,592,57,977,413,0.806879
102660,596,55,980,411,0.816255
102693,0,0,0,0,0.0
102694,429,40,595,191,0.805121
102696,453,197,670,397,0.752592
102704,0,0,0,0,0.0
102706,432,43,595,190,0.782597
102707,32,57,420,412,0.82223
102709,42,53,417,411,0.814128
102710,31,63,417,404,0.812718
102711,28,55,414,409,0.817577
102712,594,55,967,412,0.812588
102713,32,315,305,563,0.722797
102714,333,183,488,326,0.76941
102715,0,0,0,0,0.0
102716,17,320,310,556,0.73081
102717,1238,236,1723,667,0.803318
102719,1240,247,1710,667,0.808465
