img_id,pg_id,blood
100510,B2003-6476030,詹森
100767,B05-6153324,詹森麦克斯
101115,CHN2002-01-445232,桑杰士
101124,08-926269,桑杰士
10164,NL06-1195033,鲁道克拉森
101728,CHN10-15-259348,马克.罗森斯
101860,B09-5051566,吐尼尔
102111,B03-6266119,胡本
102694,DV0964-04-96,德拉帕
102696,,吐尼尔
102706,,胡本
102707,,胡本
102709,,甘纳斯
102710,,甘纳斯
102711,CHN08-12-169009,甘纳斯
102712,CHN05-12-009782,甘纳斯
102716,CU2001-03244,甘纳斯
102717,CHN08-09-013193,苍白骑士
102719,CHN08-09-592896,苍白骑士
102847,B10-5182723,速霸龙
102963,B05-3185185,飞戈
103443,,速霸龙
103570,CHN2002-16-122886,詹森
103631,2009-16-018614,德拉帕
103979,CHN2016-32-0552821,佛卡门
104084,BELG2009-6222923,胡本
104100,CC2010-428739,克拉克
10466,B03-6097248,桑杰士
105411,BEL,小飞戈
105501,NL06-1078025,彼得米卫
10558,B00-6340079,桑杰士
105765,CHN10-03-021453,摩利斯.卡萨
106047,BELG2009-6250000,乔斯.佛卡门
106059,BELG2006-6270255,乔斯.佛卡门
106064,BELG2009-6248565,乔斯.佛卡门
106333,NL-09-1214836,杨欧瓦克
106470,BELG2009-4331013,速霸龙
10650,B04-6431023,桑杰士
10658,B04-6035128,万侯
106688,DV02065-13-201,戈马利
106693,DV02065-13-236,戈马利
106694,DV02065-13-204,戈马利
106742,BELG2010-6052564,乔斯.佛卡门
106744,BELG2010-6052567,乔斯.佛卡门
106807,BELG06-2082408,戈马利
106814,NL05-2208939,詹森系
106815,DV01769-14-35,德拉帕
106819,DV01769-14-786,德拉帕
106825,DV01769-14-725,德拉帕
106829,DV01769-14-743,德拉帕
10685,B04-6430750,桑杰士
106932,NL06-1597645,考夫曼
107216,BELG05-2142768,戈马利
107327,DV01769-14-797,德拉帕
107572,BELG06-3118150,飞戈
107576,BELG03-3131141,飞戈
107584,BELG04-3204401,飞戈
10764,NL06-1597236,考夫曼
107779,BELG05-4325754,速霸龙
107786,BELG05-4274511,速霸龙
108218,NL2011-1737011,佛科克
108260,BELG2013-4050274,速霸龙
108261,BELG2013-4050340,速霸龙
108319,BELG13-6310483,英格斯
108322,BELG13-6300533,英格斯
108330,BELG13-6300546,英格斯
108331,BELG13-6300550,英格斯
108353,BELG13-6096627,英格斯
108357,BELG2013-4050441,速霸龙
108490,NL12-1822137,克拉克
108526,B05-3224609,盖比
108636,NL2007-1129402,考夫曼
108650,B07-4349252,帝卢速霸龙
108912,NL03-1675010,幕利门
109586,BELG2009-6248549,乔斯.佛卡门
109600,B08-3079294,飞戈
110024,NL2010-1271446,考夫曼
110027,NL2008-1101757,考夫曼
110085,NL08-1102719,考夫曼
110114,胡本001,胡本
110116,胡本017,胡本
110117,胡本030,胡本
110118,胡本020,胡本
110137,NL2008-1537260	,佛科克
110138,NL2008-1537315,佛科克
110480,B06-6334290,凡龙
110486,B05-6445716,凡龙
110676,2010-01-808336,考夫曼
110705,B07-6390349,桑杰士
110706,B07-2015494,桑杰士
110707,B05-6166490,胡本
111065,2007-20-000054,林波尔
111081,2010-20-021901,林波尔
111087,B10－4320713,速霸龙
111091,BELG2007-4138819,速霸龙
111110,NL2008-1489640,林波尔
111355,B02-6074071,瓦特
111582,CHN2004-09-171126,戴扶连特
111583,CHN2007-09-002392,戴扶连特
111808,CHN08-03-199999,詹森
111847,NL-2001-1822844,林波尔
111853,NL-2001-1822806,林波尔
111854,NL-2001-1822805,林波尔
111859,NL-2001-1822804,林波尔
111868,NL-2006-1016503,林波尔
111869,NL2004-1993808,林波尔
111890,,詹森
111971,09-01-392478,考夫曼
112069,CHN2005-09-037556,戴扶连特
112077,NL2012-1618365,佛科克
112081,B09-5051450,吐尼尔
112113,AU96-FVC-9721,贝克詹森
112118,BELG2003-6485743,詹森
112230,CHN2009-06-055938,胡本
112289,NL2006-2162266,佛科克
11229,B01-6398526,桑杰士
112409,B01-6526608,英格斯
112435,DV09856-04-592,考夫曼
11246,B04-6126467,桑杰士
11250,B04-6430728,桑杰士
112735,CHN2016-03-0900833,佛科克
112868,NL2016-1526279,佛科克
113139,09-10-407160,帝卢速霸龙
113229,B05-4045228,帝卢速霸龙
113249,2004-022182,桑杰士
113297,B03-6063937,瓦特
113550,B2005-3185208,飞戈
113551,B2006-3206562,飞戈
113560,B2008-3079103,飞戈
113562,B2008-3079293,飞戈
113567,B2008-3079295,飞戈
113852,CHN05-10-420043,胡本
113855,CHN03-10-088962,胡本
113951,CHN09-10-011011,速霸龙
113953,CHN09-10-010719,速霸龙
114043,CHN10-15-259704,桑杰士
114144,2010-15-259069,詹森
114201,BELG2009-6222918,胡本
114269,03-12-008989,戈马力
114551,CHN18-10-335719,胡本
114578,CHN08-10-335770,胡本
114579,CHN10-10-702178,胡本
114584,CHN09-32-599107,胡本
114585,CHN09-10-700331,胡本
114586,HN10-10-702162,速霸龙
114587,CHN10-10-702161,速霸龙
114598,B96-1388737,胡本
11501,BELG00-2117288,电脑戈马利
11502,CHN04-10-654816,电脑戈马利
115894,NL12-1822735,克拉克
115895,NL12-1822153,克拉克
116056,CHN2017-01-1363258,国家一号
116071,CHN99-09-008871,胡本
116156,BELG2003-3131084,飞戈
116160,BELG2005-3185215,飞戈
116161,BELG2003-3131148,飞戈
11677,B04-6058345,乔斯.佛卡门
116855,CHN01-10-638093,胡本
116877,CHN02-10-200028,胡本
116878,CHN03-10-088970,胡本
116879,CHN06-10-336895,胡本
116881,CHN03-10-088979,胡本
116926,B06-4372407,芬尼卡5000
116940,联盟超级种雄540,詹森红狐
117330,CHN2007-048078,苍白骑士
118409,,电脑戈马力
118544,B09-5061926,乔斯托内
118547,B09-5061966,乔斯托内
118585,CHN10-01-273680,白雪公主
118588,ＤＶ２００９－０１７６９－４３９,德拉帕
118596,CHN06-15-017771,詹森麦克斯
119144,BELG06-2082322,电脑戈马力
119145,BELG06-2082460,电脑戈马力
119148,BELG05-2142783,电脑戈马力
119149,BELG05-2142786,电脑戈马力
119152,BELG06-2082389,电脑戈马力
119155,BELG13-6080666,胡本
119752,NL2007-1207497,考夫曼
119761,NL2007-1207580,考夫曼
120459,2008-08-107091,100%乔斯托内黄金血统拿破仑系
120570,2010-08-018007,100%乔斯托内黄金血统拿破仑系
120571,2010-08-018008,100%乔斯托内黄金血统拿破仑系
120572,2010-08-018026,100%乔斯托内黄金血统拿破仑系
120582,2010-08-018070,100%乔斯托内黄金血统拿破仑系
120706,BE2003-3003771,盖比
120715,BE2005-3006570,盖比.凡德纳比
120743,NL09-1814777,詹森系
120898,CHN08-12-079300,桑杰士
120908,CHN10-12-227222,桑杰士
121550,BELG02-2214379,电脑.戈马力
121575,,佛卡门
121649,DV01769-14-775,德拉帕
121652,DV01769-14-749,德拉帕
121747,B14-6183783,吐尼尔
121770,2007-08-072388,100%乔斯托内黄金血统拿破仑系
121771,2005-08-152100,100%乔斯托内黄金血统拿破仑系
121772,2010-08-011991,100%乔斯托内黄金血统拿破仑系
121773,2010-08-011995,100%乔斯托内黄金血统拿破仑系
121776,2010-08-018030,100%乔斯托内黄金血统拿破仑系
121777,2010-08-018031,100%乔斯托内黄金血统拿破仑系
121778,2010-08-018010,100%乔斯托内黄金血统拿破仑系
121812,B10-5108698,吐尼尔
121817,B10-5170175,吐尼尔
121826,B2000-4065598,速霸龙
121916,五环,詹森019
121918,DV02065-13-226,电脑戈马利
121919,DV02065-13-238,电脑戈马利
121920,DV02065-13-250,电脑戈马利
121921,BELG13-6080640,胡本
121923,BELG12-6236130,胡本
121924,BELG13-6080895,胡本
122074,CHN08-10-213791,詹森
122080,2006BELG2082355,电脑
122085,05-BELG-6100337,麦克斯
122768,,速霸龙
123017,B05-3006778,盖比
123023,B07-5110112,盖比
124133,BELG2003-6226056,英格斯
124353,2010-08-018037,100%乔斯托内黄金血统拿破仑系
124535,2009-08-051188,100%乔斯托内黄金血统拿破仑系
124653,2010-08-018036,100%乔斯托内黄金血统拿破仑系
124660,2010-08-018022,100%乔斯托内黄金血统拿破仑系
125292,2010-17-197834,戈马力
125510,CHN2010-12-174866,爱亚卡普詹森
125599,CHN2010-079893,詹森系
125798,DV0934198770,德拉帕
12581,NL07-1667771,鲁道.克拉森
125813,T2008-681464,詹森
125896,07-027608,詹森
125948,10-08-105580,吐尼尔
125967,GB10-X33621,波西瓦
126446,CHN11-17-042802,戈马力
126447,CHN11-17-042801,戈马力
126448,11-08-258211,戈马力
126449,11-17-283521,戈马力
126450,11-16-281926,胡本
126574,2011-08-018074,100%乔斯托内黄金血统拿破仑系
126575,2010-08-018045,100%乔斯托内黄金血统拿破仑系
126576,2010-08-018046,100%乔斯托内黄金血统拿破仑系
126918,BELG13-6080890,胡本
126919,BELG13-6080942,胡本
127366,2004-08-018177,詹森红狐
127408,NL10-1109617,考夫曼
127630,NL2006-2120220,克拉克詹森
128859,B07-3201483,安德烈勃默德
128941,CHN07-03-299891,胡本
129242,2015-0073525,胡本
129727,BELG08-6314600,胡本原舍
129894,2010-06-415527,詹森系
130187,B08-9008196,马克罗森斯
130447,CHN2011-276791,詹森019
130449,CHN2011-455229,詹森019
130860,2009-08-076162,100%乔斯托内黄金血统拿破仑系
130861,2011-08-092855,100%乔斯托内黄金血统拿破仑系
130863,2011-08-116858,100%乔斯托内黄金血统拿破仑系
130893,2007-08-010718,100%乔斯托内黄金血统拿破仑系
130910,2001-05-427031,苍白骑士
130914,2006-08-168042,100%乔斯托内黄金血统拿破仑系
130916,2011-08-116717,100%乔斯托内黄金血统拿破仑系
130921,2011-08-116867,100%乔斯托内黄金血统拿破仑系
130926,2011-08-116868,100%乔斯托内黄金血统拿破仑系
130934,2011-08-116652,100%乔斯托内黄金血统拿破仑系
130941,2003-08-202527,100%乔斯托内黄金血统拿破仑系
130943,2008-08-107005,100%乔斯托内黄金血统拿破仑系
131139,CHN07-15-115977,詹森
131386,NL10-1681819,佛科克
131397,NL10-1681854,佛科克
131447,NL11-1764211,杨欧瓦克
131465,NL11-1764232,杨欧瓦克
131472,NL11-1764205,杨欧瓦克
131473,NL11-1764206,杨欧瓦克
131474,NL11-1764221,杨欧瓦克
131478,CC03-260202,克拉克詹森
131518,CHN06-01-481900,英格斯
131529,CHN09-01-815747,英格斯
132187,B09-6238009,威廉.吉尔特
132207,2010-08-048778,林波尔
132266,B09-2086028,胡本
132275,CHN18-2011-024552,桑杰士
132285,B05-6448071,胡本原舍
132291,CHN18-2011-021652,考夫曼
132408,CHN10-06-041085,爱亚卡普詹森
132409,CHN10-06-041086,爱亚卡普詹森
132836,2000-06-202956,苍白骑士
132956,2011-05-427036,苍白骑士
132958,2011-05-427056,苍白骑士
133022,CHN2009-08-010113,苍白骑士
133391,CHN2011-05-556446,波西瓦
133444,CC04-299524,马克.罗森斯
133599,CC03-260113WN03-030504,马克.罗森斯
133713,CHN18-2011-006271,桑杰士
13378,B04-6266065,威廉.吉尔特
13379,B04-6266643,威廉.吉尔特
133809,CHN2011-05-504555,波西瓦
134120,CC04-299991,马克.罗森斯
134396,NL2010-2802536,红狐
134421,CHN02-03-238050,闪电桑杰士
134445,BE04-4277399,帝卢速霸龙
13452,B04-5065605,桑杰士
134593,09-457457,乔斯托内
134890,AU2007-MAGIC-6547,超级73
134909,AU2009MAGIC8087,超级73
134912,AU2010MAGIC090,超级73
134915,BELG2003-6384897,桑杰士
135035,AU2007YUPIGEON272,芬妮卡5000
135049,AU11YUPIGEON647,芬妮卡5000
135089,AU2008MAGIC7362,超级73
135147,AU2009MAGIC8385,超级73
135367,BE07-4093433,速霸龙
135676,2011-01-286393,苍白骑士
135702,CHN2011-32-840225,英格斯
135776,CHN04-10-379429,胡本
135786,2011-08-116794,100%乔斯托内黄金血统拿破仑系
135787,BE-4095269,福雷迪.范西
135795,2010-08-279557,帝卢·速霸龙
135823,NL06-1651671(小迪克孙女),考夫曼
135859,2007-623687,恩格斯
135921,08-4359672,福雷迪.范西
135926,BE08-4095296,福雷迪.范西
135927,B08-4095066,福雷迪.范西
136085,AU2009MAGIC8285,超级73
136117,B11－4244659,福雷迪.范西
136118,B11－4244666,福雷迪.范西
136124,B11-4244637,福雷迪.范西
136127,BE11-4244381,福雷迪.范西
136714,NL96-1735751,凡龙
136829,2008-08-082481,威廉吉尔特
136851,B08-6158289,胡本
136936,B2011-6219320,詹森
137018,BELG2009-4035001,速霸龙
137079,DV04218-09-437,考夫曼
137235,2008-03-101280,桑杰士
137261,DV01769-11-157,德拉帕
137267,DV08575-09-161,德拉帕
137272,CHN2011-09-454861,詹森019
137323,CHN08-10-589501,苍白骑士
137332,CHN2008-09-360007,苍白
137461,11-32-132452,速霸龙
137462,11-32-132454,速霸龙
137464,11-10-017141,速霸龙
137474,11-10-459347,速霸龙
137475,11-10-459329,速霸龙
137486,09-32-585062,速霸龙
137649,B03-6456998,詹森
137667,B06-2082242,戈马利
137748,CHN07-10-094144,詹森红狐
137878,08-10-001651,速霸龙
137993,2009-08-010101,兆尊苍白
139191,BELG2009-3187462,飞戈
139193,BELG2011-3021547,飞戈
139225,BELG2011-3021548,飞戈
139535,,桑杰士
139640,NL03-1057280,飞戈
1403,NL02-1810317,杨阿腾
140448,CHN2011-276412,詹森
141822,B10－4101223,福雷迪.范西
142096,B2010-2206730,速霸龙
142098,B2010-2206745,速霸龙
142137,B09-3188059,盖比
142213,B09-3188079,盖比
142450,05-01-471357,桑杰士
142481,CHN2010-096369,苍白骑士
142483,CHN2010-086021,苍白骑士
142499,CHN2007-01-279622,桑杰士
142567,2007-01-617218,桑杰士
142630,BE06-3008335,盖比
143025,468,戈马利
143056,2018-01-0106,国家一号
143111,CHN2007-01-263494,桑杰士
143322,2007-01-103371,桑杰士
143398,CHN2005-01-435702,桑杰士
143400,CHN2005-01-435788,桑杰士
143403,CHN2005-01-435701,桑杰士
143406,CHN2011-01-212925,桑杰士
143407,CHN2011-01-212964,桑杰士
143416,05-435785,桑杰士
143463,CHN2010-12-086022,苍白
143501,CHN2009-10-140095,苍白骑士
143696,B11-6265532,胡本
143856,B11-6332744,胡本
144467,BELG2009-6358282,胡本原舍
144470,BELG2007-6076588,胡本原舍
144477,BELG2009-6358311,胡本原舍
144671,CHN09-06-130725,桑杰士
144831,2011-01-689427,桑杰士
145097,CHN2018-03-0222012,佛科克
145186,CHN11-01-643175,林波尔
145923,11-01-091869,幕利门
146814,B11－4244617,福雷迪.范西
146815,B09－4035072,福雷迪.范西
146817,DV07364-11-59,芬妮卡5000
146931,CHN2002-W-019372,爱亚卡普詹森
146991,CHN2004-076948,爱亚卡普詹森
147177,BELG2008-6371061,胡本
147573,2010-15-179327,詹森
147578,2011-01-803379,詹森
147580,2010-15-179326,詹森
14791,NL07-3728138,鲁道.克拉森
148321,NL05-1590339,詹森系
14851,BE1998-3158002,盖比
148761,C05-456730,詹森
148784,NL08-1588724,詹森
148844,B10-6038113,胡本
149411,B11-5010739,乔斯托内
149421,B11-5010981,乔斯托内
149610,04台097468,詹森
149612,台07-292025,詹森
149613,台07-291556,詹森
149661,台07-291713,詹森
149682,台08-6809581,詹森
149697,台07-291207,詹森
149703,海翔05-514211,詹森
149801,NL07-1180504,考夫曼
149802,NL04-1454889,考夫曼
149810,NL08-4207707,考夫曼
149867,NL02-1907024,克拉克
149869,NL02-1684538,克拉克
150162,CHN11-2007-082397,考夫曼
150516,NL-06-1158819,杨阿腾
150519,B08-3126145,安德烈勃默德
150525,C03-155590,詹森
150526,C02-280143,詹森
150535,B09-3131258,安德烈勃默德
150566,NL08-1113128,杨阿腾
150572,2011-08-116861,100%乔斯托内黄金血统拿破仑系
150581,B11-3066357,安德烈勃默德
150606,B05-3224545,盖比
150718,C06-300151,詹森
150930,C08-055549,麦克斯
150931,B08-6144113,乔斯.佛卡门
150932,C08-055554,麦克斯
150933,C09-089118,詹森
150934,C08-055544,詹森
150937,C07-180007,詹森麦克斯
151257,NL06-1337974,詹森系
151291,B09-2054308,戈马利
151574,NL08-1485171,克拉克詹森
151603,,凡龙
151986,B94-5033821,桑杰士
152077,B2009-6370115,利奥·贺尔曼斯
152171,BELG10-6345291,利奥·贺尔曼斯
152234,CHN05-10-079999,万侯
152714,BELG11-6341895,利奥·贺尔曼斯
152800,CHN2013-10-100481,电脑
152856,BELG11-6341883,利奥·贺尔曼斯
152858,DV05176-10-233,德拉帕
152861,B11-4244667,福雷迪.范西
152862,BE11－4244620,福雷迪.范西
15293,BELG2006-6270024,乔斯佛卡门
153179,B07-6043932,利奥·贺尔曼斯
153183,NL00-2467681,詹森
153232,2003-15-023489,泰山号
153258,2000-15-050383,泰山号
153259,2000-15-050384,泰山号
153264,2001-15-039142,泰山号
153337,2007-15-067163,泰山号
153338,00-16-00069,詹森
153339,2010-15-188837,泰山号
153340,99-26-000191,詹森
153376,BELG2005-4045267,速霸龙
153379,2001-15-039142,泰山号
153394,BELG2007-6076248,胡本
153533,2002-15-000328,泰山号
153657,2003-15-078069,泰山号
153731,11-01-330467,詹森
153744,10-32-323900,詹森
153762,11-16-000530,詹森
15381,B04-6430921,桑杰士
15388,NL03-1434834,詹森
153904,NL2008-2134649,詹森红狐
154469,,詹森
154762,B2005-5217183,桑杰士
154767,BELG2011-6265530,胡本
154937,B11-6265561,胡本
154952,CHN2011-08-139888,詹森
155051,CHN10-09-419042,速霸龙
155052,CHN10-09-044844,速霸龙
155057,CHN10-09-310436,速霸龙
155059,世博-020345,速霸龙
155976,CHN11-2006-076966,考夫曼
15641,CHN17-03-1253593灰雌,林波尔
156440,B09-6348469,利奥·贺尔曼斯
156446,B11-6341829,利奥·贺尔曼斯
156455,B11-6333871,利奥·贺尔曼斯
156456,DV06134-11-250,利奥·贺尔曼斯
156612,NL2010-1769851,夏拉肯
156613,B2009-6358600,詹森
156614,B2008-6336897,詹森
156615,B2007-6310354,詹森红狐
156623,NL2011-1665068,夏拉肯
156632,NL2010-1769923,夏拉肯
156639,NL2011-1821685,夏拉肯
156642,B2010-4320732,速霸龙
156644,NL2010-1769927,夏拉肯
156654,B2009-6370271,詹森
156732,NL10-1632171,克拉克
156788,B08-6350778,凡龙
157036,BELG2013-4050445,速霸龙
157105,BELG13-4050474,速霸龙
157108,BELG13-4050480,速霸龙
157109,BELG10-2045490,电脑戈马力
15741,JPN09MK07018-浅点-砂眼-雌,詹森系
157413,2010-29-050406,戈马力
157824,B07-6369508“眼镜蛇”,利奥·贺尔曼斯
157933,BELG2008-6371125,胡本
158142,CHN2007-09-002394,戴扶连特
158147,CHN2008-09-404956,戴扶连特
158177,BELG2009-6358272,胡本
158736,B05-4288545,速霸龙
158747,2011-08-116606,100%乔斯托内黄金血统拿破仑系
158748,2011-08-116630,100%乔斯托内黄金血统拿破仑系
158826,NL11-1737041,佛科克
158969,17-15-0293997,詹森
158986,CHN2004-02-002863雄,戈马利
159014,CHN08-16-198081,胡本
159604,C08-055555,詹森
159683,B07-4332349,帝卢·速霸龙
159684,NL02-2320720,盖比
159689,B2011-4327655,帝卢·速霸龙
159697,NL2011-2022914,幕利门
159712,NL2011-1821666,夏拉肯
159714,B06-3150901,飞戈
159747,B2010-4316430,帝卢·速霸龙
159754,BELG2008-3088144,速霸龙
159817,05-32-830547,盖比
159822,07-22-998507,飞戈
159853,CHN2012-08-274888,红狐
160010,07-22-998517,飞戈
160017,NL09-1214672,杨欧瓦克
160101,CHN00-03-000106,桑杰士
160586,CHN01-03-029782,桑杰士
160838,NL02-1117094,凡龙
160845,B04-2063085,帝卢速霸龙
160847,B04-2063055,帝卢速霸龙
161002,BELG2007-6379875,利奥·贺尔曼斯
161078,2012-06-386792,爱亚卡普詹森
161081,CHN2011-17-110509,詹森麦克斯
161095,CHN2011-10-854125,凡龙
161172,B2002-3003662,盖比
161402,NL08-1981840,吐尼尔
161523,CN08-005838,胡本
161524,CN08-005863,胡本
161525,CN009-20-003265,胡本
161526,CHN09-20-003207,胡本
161527,CHN09-20-003333,胡本
161528,CHN09-20-003258,胡本
161539,CHN10-20-023759,胡本
161541,CHN10-20-023743,胡本
161543,CN08-005867,胡本
161585,B03-6366571,凡龙
161821,CHN10-20-023628,胡本
161822,CHN10-20-023629,胡本
162012,,蓝色火箭
162015,463583-10,蓝色火箭
162017,438948-06,蓝色火箭
162018,287113-07,蓝色火箭
162019,493739-08,蓝色火箭
162020,463665-10,蓝色火箭
162021,155575-04,蓝色火箭
162023,078285-05,蓝色火箭
162025,493703-08,蓝色火箭
162290,纪念10-245362,速霸龙
162448,03-1037860,英格斯
162493,CN09-20-003321,胡本
162494,CHN09-20-003257,胡本
162499,CHN10-20-023782,胡本
162847,BELG13-4050506,福雷迪.范西-速霸龙
162848,BELG13-4050515,福雷迪.范西-速霸龙
162850,BELG13-4050524,福雷迪.范西-速霸龙
162861,BELG13-4050540,福雷迪.范西-速霸龙
162968,CHN2008-102065,苍白骑士
162971,CHN11-01-770278,苍白骑士
162972,CHN11-01-770272,苍白骑士
162981,BELG13-4050542,福雷迪.范西-速霸龙
162988,BELG11-4288342,福雷迪.范西-速霸龙
162989,BELG13-4050546,福雷迪.范西-速霸龙
162990,BELG13-4050553,福雷迪.范西-速霸龙
162991,BELG13-4050556,福雷迪.范西-速霸龙
162992,BELG13-4050557,福雷迪.范西-速霸龙
162993,BELG11-4244127,福雷迪.范西-速霸龙
162994,BELG11-4244148,福雷迪.范西-速霸龙
162995,BELG11-4244324,福雷迪.范西-速霸龙
162998,BELG14-4000081,福雷迪.范西-速霸龙
163001,BELG14-4000423,福雷迪.范西-速霸龙
163014,BELG14-4000513,福雷迪.范西-速霸龙
163015,BELG14-4273906,福雷迪.范西-速霸龙
163063,CHN2013-01-852902,詹森
163074,B10-6346636,佛卡门
163078,B09-6370734,佛卡门
163082,BELG14-4273917,福雷迪.范西-速霸龙
163085,BELG14-4273919,福雷迪.范西-速霸龙
163087,B09-6370741,佛卡门
163091,BELGB14-4279728,福雷迪.范西-速霸龙
163100,BELG14-4279746,福雷迪.范西-速霸龙
163113,B14-4000476,福雷迪.范西-速霸龙
163114,B14-4000573,福雷迪.范西-速霸龙
163128,B14-4000593,福雷迪.范西-速霸龙
163129,BELG11-4288380,福雷迪.范西-速霸龙
163136,B14-4279724,福雷迪.范西-速霸龙
163138,B11-4244127,福雷迪.范西-速霸龙
163139,B14-4000562,福雷迪.范西-速霸龙
163144,CHN09-20-003315,速霸龙
163145,CHN09-20-009838,速霸龙
163261,B14-4000564,福雷迪.范西-速霸龙
163781,CHN2014-01-327899,詹森
164322,DV09127-07-1063,波西瓦
164446,B05-6448006,胡本
164447,B08-6314857,胡本
164707,08-08-182016,胡本
164709,B11-6332727,胡本
164976,2011-05-427070,苍白骑士
165402,B13-3054631,盖比
165415,B14-3113741,盖比
165432,B14-3113733,盖比
165436,B14-3113731,盖比
165457,B14-3113721,盖比
165579,B13-3160832,盖比
165580,B13-3160829,盖比
165582,B13-3160805,盖比
165585,B11-3115664,盖比.凡德纳比
165587,B13-3054620,盖比.凡德纳比
165970,B11-3155580,盖比.凡德纳比
165971,B14-3067156,电脑.戈马力
166335,B14-3150677,电脑.戈马力
166338,B14-3150678,盖比.凡德纳比
166369,B14-3150679,盖比.凡德纳比
166370,B14-3067185,盖比.凡德纳比
166371,B12-3168963,盖比.凡德纳比
166378,NL03-1006221,詹森
167703,CHN2012-01-923242,东方不败
168053,BELG2009-6086454,桑杰士
168297,2006-03-349983,凡龙
168507,B13-6320207,利奥.贺尔曼斯
168508,B13-6320203,利奥.贺尔曼斯
168563,CHN-155180,詹森
168686,CHN2016-08-0045576,詹森
168730,10-1-270013,芬尼卡5000
168844,BELG2006-2017451,桑杰士
169450,NL07-2038086,詹森兄弟
170109,B05-6445752,凡龙
170111,B09-6301811,凡龙
170114,CHN2011-08-139514,詹森红狐狸
170281,S2012-12441,电脑戈马力
170284,S2011-111281,电脑戈马力
170372,CHN11-15-057484,詹森
170415,BELG10-6052516,乔斯佛卡门
170576,B13-6320221,利奥.贺尔曼斯
170806,B2008-6245010,英格斯
170908,CHN10-15-259306,克拉克詹森
171451,CHN2009-02-150097,万侯
171500,B06-6267294,胡本
171621,CHN2011-11-317905,桑杰士
171960,DV05-01769-918,德拉帕
171962,NL11-4403546,凡龙
171963,DV06-01769-1164,德拉帕
171964,DV04-01796-1471,德拉帕
171968,DV06-01796-1161,德拉帕
172187,CTRPA2007-291915,詹森
172425,2007-01-518518,波西瓦
172556,2005-15-041121,詹森
172568,2007-15-243341,詹森红狐
172570,无环,詹森红狐
172994,2012-15-882353,詹森
173000,NL2000-1489130,爱亚卡普詹森
173133,2013-06-300472,佛卡门
173316,CC04-299524,马克.罗森斯
173319,WN03-030504CC03-260113,马克.罗森斯
173361,NL10-1693036,波西瓦
173432,BELG2008-6314965,胡本
173445,NL07-1829167,波西瓦
173456,NL05-1405316,波西瓦
173671,BELG2005-6166279,胡本
173697,B07-6076351,胡本
17407,B06-6267126,胡本
174140,B08-9058860,詹森
175031,BE07-6399008,詹森红狐
175110,B07-6076109,胡本
175113,B07--6311586,胡本
175125,DV07409-09-1040,芬妮卡5000
175468,BELG10-6052516,乔斯佛卡门
175753,NL05-5539622,杨阿腾
175974,6341700,乔斯.乔森
176523,,詹森019
176570,BELG2010-4030190,杨阿腾
176723,B11-6265498,胡本
176725,CHN11-04-757775,考夫曼
176778,B2007-4246579,速霸龙
176783,B2011-4303980,速霸龙
177016,BE06-4090578,帝卢速霸龙
177017,BE06-4361309,帝卢速霸龙
177019,BE08-4349704,帝卢速霸龙
177067,2012-06-383559,乔斯佛卡门
177361,2000-15-171206,马克罗森斯
177362,2008-15-326933,马克罗森斯
178072,B03-2191029,电脑戈马力
179389,B12-6255210,詹森红狐狸
179575,NL2009-1442501,盖比
179821,BELG2009-6222950,胡本
179828,CHN2015-17-0171225,桑杰士
179979,B12－4186486,福雷迪.范西
180008,B11-6133655,凡龙
180009,B11-6133656,凡龙
180010,B11-6133660,凡龙
180012,B11-6133727,凡龙
180223,DV05-07764488,芬妮卡5000
180249,01-08-004708,桑杰士第一武士
180251,08-08-059003【已售】,林波尔
180922,B11-6282600,乔斯.佛卡门
181015,05-08-062714,林波尔
181170,11-02-010732,詹森
181203,B06-6398495,桑杰士
181486,CHN2013-17-208888,桑杰士
181754,NL2000-0066126,万德维根
182476,2012-06-530797,胡本
182478,10-32-149835,速霸龙
182482,10-32-261868,帝卢速霸龙
182873,CHN08-09-337612,鲁道克拉森
182874,CHN2007-26-002282,胡本
182878,CHN2009-26-181035,胡本
182885,CHN2010-26-099878,胡本
182888,CHN2011-26-100119,胡本
182889,CHN2011-26-099878,胡本
182890,CHN2011-26-099888,胡本
182893,CHN2010-26-100000,胡本
182895,CHN2007-26-001399,胡本
182907,CHN2009-26-188114,胡本
182909,CHN2009-26-188115,胡本
182913,CHN2010-26-099996,胡本
182929,CHN2006-26-139904,乔斯托内
182939,CHN2011-26-100109,胡本
182940,CHN2012-26-099484,乔斯托内
182943,CHN2012-26-099452,速霸龙
182960,CHN2011-26-000091,胡本
182962,CHN2011-26-000092,胡本
182967,CHN2011-26-000099,胡本
182968,CHN2011-100102,胡本
182971,CHN2011-26-100072,胡本
182972,CHN2011-26-100098,胡本
182973,CHN2010-26-000136,速霸龙
