img_id,blood_name
100009,小迪克孙X小迪克孙女
100201,多利号回血
100205,多利号多重回血
10045,
100459,
100460,名鸽178直子
100535,
100583,山普森x永胜系x台詹森x电脑
100585,电脑x詹森x陈焰公棚14名
100589,恩格斯178系377外孙
100591,山普森直子X山普森母亲889
100614,西北全能女王号母子近血
100867,
100870,
100900,彼特·文斯特拉
100924,
101010,兰色火箭系
101015,兰色火箭系
101048,
101069,
101124,桑杰士
101126,桑杰士X慕利门
10164,鲁道克拉森
101747,西北全能女王号母子近血
101762,恩格斯377子/范德佛拉斯124
101911,
101924,
101925,
101942,
102077,
102332,恩格斯231系X李军恩格斯
10261,
10264,
102658,凡龙.银影
102659,凡龙.银影
102660,凡龙.银影
102706,胡本
102709,甘纳斯
102710,甘纳斯
102711,甘纳斯
102712,甘纳斯
102713,好莱坞
102714,黄金配对
102719,苍白骑士
102745,红卡多*芬尼卡5000*红狐731
102798,
102800,
102803,
102804,
102847,速霸龙
103074,大内高手*奇米号
103085,胆小二号
103099,大内高手155”孙X“国家1号”直孙女
103100,桑杰士1999KBDB中距离鸽王全国冠军直子
103224,永胜系
103245,永胜系
103380,兴祥电脑戈马力家族
103403,兴祥五关鸽王
103442,七星麦克斯近亲直孙
103443,速霸龙
103570,詹森
103631,德拉帕
103833,乔斯.托内
103892,
103905,
103909,
103910,
103911,
103919,
103976,红狐731直孙*81红狐直女
103990,
104014,
104084,胡本
104100,克拉克
104103,詹森飞毛腿
10414,
104537,电脑二号桑杰士
10466,桑杰士
104745,林波尔系
104751,林波尔系
104758,林波尔系
104768,火箭691直女
104854,总统163直子
104855,总统163直女
104963,飞戈悍将031配山普森特比环冠军
10497,卡尔.穆利门
105026,勃默德配狄尔巴017646
105041,勃默德017786
105125,
105407,彼特·文斯特拉
105408,苏斯通国际冠军家族
105430,苏斯通国际冠军家族
105431,苏斯通国际冠军家族
105501,彼得米卫
105578,藩塔尼
10558,桑杰士
105915,100%多利号血统
105941,瓦特*库瑞斯
105951,琥珀
106059,乔斯.佛卡门
106064,乔斯.佛卡门
10610,纯杨·龚多拉斯
106470,速霸龙
10649,万候
10650,桑杰士
106502,罗恩.范维格父子.慕伦418公里7位
106511,彼得•文斯特拉原棚.
106515,奥林匹克03直子X杨直女
10653,万候
10666,万候.尤特霍芬
106693,戈马利
106694,戈马利
106737,
106742,乔斯.佛卡门
106744,乔斯.佛卡门
106814,詹森系
106815,德拉帕
106819,德拉帕
106932,考夫曼
107109,
107113,
107114,
107118,
107119,
107216,戈马利
107327,德拉帕
107386,桑杰士狼狗号
107404,麦克斯X桑杰士
107418,麦克斯X桑杰士
107471,荷兰爱亚卡普詹森
107572,飞戈
107576,飞戈
107584,飞戈
10764,考夫曼
10765,路易士.凡龙
107779,速霸龙
107786,速霸龙
108048,速霸龙.原棚梦想家近亲
108058,乔斯.佛卡门贝克汉姆.直孙
108059,全能配对”代表直女
108061,杨.胡曼斯.原舍.哈利”直女
108067,文斯特拉.美好人生全兄弟
108068,文斯特拉.香奈儿5号直子
108069,盖比传奇大铭鸽“闪电号”直子
108073,乔斯.佛卡门.巴可X凯蒂”孙女
108074,速霸龙.鹰眼少侠
108075,梦追山568号
108076,罗尼-凡瑞特桑杰士
108078,佛卡门.贝克汉姆.外孙女
108084,
108092,
108105,沙奇士原舍鲁道.克拉森.小白12号直孙女
108218,佛科克
108265,沙奇士原舍小白59号克拉克69
108266,超级克拉克天才X小白12号直女
108267,阿曼德-史古梅斯.桑杰士
108268,盖比铭鸽“白腹号”近亲直孙
108270,法兰斯号”近亲.直孙女
108271,荷兰.全国鸽王亚军
108273,杨.胡曼斯.大铭鸽“哈利”直孙
108274,荷兰.佛科克父子.原舍
108275,速霸龙.福雷迪.原舍
108322,英格斯
108330,英格斯
108331,英格斯
108332,福禄.英格斯
108333,福禄.英格斯
108334,福禄.英格斯
108335,福禄.英格斯
108341,福禄.英格斯
108348,福禄.英格斯
108357,速霸龙
108490,克拉克
108636,考夫曼
108638,福洛·福沃特×考夫曼
108646,“罗纳尔多”X“玛蒂尔德”
108650,帝卢速霸龙
108653,布洛坎普
108786,桑杰士狼狗号
108787,桑杰士狼狗号
108817,詹森老白眼*德国RV联合会冠军
108818,詹森断胸骨直孙
108984,福雷迪.范西.原舍.扳机指.直子
108987,速霸龙超级.新贵福雷迪
108988,乔斯.佛卡门原舍.巴可X凯蒂”孙女
108990,速霸龙.百万富翁.孙女
108992,速霸龙.福雷迪.范希原舍
108993,大铭鸽.无缺陷.桑杰士.
108994,辽宁忠盛VIP决赛143名
108996,盖比.凡得那比.白腹号直孙女
108997,速霸龙.三关鸽王总冠军
108998,林伯格鹰眼.直孙女
108999,沙奇士原舍鲁道.克拉森.小白12号直子
109001,凡戴克原舍.全国鸽王8位半姐妹
109003,克利斯.赫博瑞
109010,幕利门军校生
109161,盖比“闪电号直子X海王星直女”
109402,克拉克斗士613回血
109511,
109514,
109638,“狮王号”
109639,詹森白羽号*德国RV联合会冠军
109640,“狮王号”
109646,詹森白羽号*詹森小火箭
109674,“小迪克”
109797,山普森姐弟配对
109800,山普森姐弟配对《非卖品》
109805,蒙特卢肯号
109810,詹森*奶酪小子
109816,速霸龙X吉尔特
109817,019X速霸龙
109819,速霸龙X鲁道克拉森
109820,速霸龙X鲁道克拉森
109905,帝卢—速霸龙
109927,帝卢—速霸龙
109952,
110016,帝卢-速霸龙
110018,帝卢-速霸龙
110019,帝卢-速霸龙
110020,帝卢-速霸龙
110021,帝卢-速霸龙
110024,考夫曼
110027,考夫曼
110085,考夫曼
110114,胡本
110116,胡本
110118,胡本
110137,佛科克
110138,佛科克
110480,凡龙
110486,凡龙
11064,
110676,考夫曼
110705,桑杰士
110706,桑杰士
110707,胡本
