img_id,pg_id,blood,blood_id,blood_name
100009,NL10-1031384,小迪克孙X小迪克孙女,D09071-04-704|D09071-05-132|N00-1210084|N00-1217817|N00-1925059|N01-1129505|N01-1129512|N01-1866742|N02-2283898|N03-1116458|N03-4774127|N04-1408253|N05-4708743|N05-4708778|N06-1596276|N07-5719324|N10-1031384|N94-1363370|N96-5654289|N98-1924683|N98-6523142|N99-1575803|N99-1585441|N99-1612926|N99-2308215,小迪克孙X小迪克孙女
100201,NL09-1331076,多利号回血,N09-1331076|N67-2052951|N81-8152434,多利号回血
100205,NL09-1331087,多利号多重回血,N09-1331087|N67-2052951|N81-8152434,多利号多重回血
10045,B01-6366746,,B2000-6448091|B2000-6553131|B94-6261205|B94-6261231|B95-6274317|B95-6274330,
100459,,,B06-6148080|N04-204175003,
100460,B07-6110398,名鸽178直子,B05-6221006|B94-6495178,名鸽178直子
100510,B2003-6476030,詹森,B91-6227903|B94-6261205|B94-6261231|B95-6274348|B99-6265183|B99-6559757,詹森
100535,,,2007-32-807352|B04-6244762|B04-6244764|B05-6085591|B06-6307732|B97-6207331,
100583,08-29-019530,山普森x永胜系x台詹森x电脑,01-03-082184|01-29-008063|02-29-000523|04-29-000215|04-29-000239|04-29-030013|04-29-030016|05-29-003889|06-29-027241|07-29-016649|07-29-016675|08-29-019530|11-29-198061|11-29-198081|11-29-198082|12-29-062189|13-29-130356|20-29-088888|99-9-215258,山普森x永胜系x台詹森x电脑
100585,09-29-105375,电脑x詹森x陈焰公棚14名,01-29-008063|03-29-000903|04-29-000239|04-29-030034|04-29-035024|05-29-000793|09-29-105302|09-29-105375|20-29-088888,电脑x詹森x陈焰公棚14名
100589,14-29-122626,恩格斯178系377外孙,11-29-198061|11-29-198081|11-29-198082|11-29-198192|12-29-062189|13-29-130356|14-29-122626|B01-6153558|B03-6226034|B04-6231763178|B10-6166377|B94-6495178,恩格斯178系377外孙
