img_id,representative_img_id,pg_id,blood,blood_id,blood_name,member_count
100459,100459,,,B06-6148080|N04-204175003,,1
100535,100535,,,2007-32-807352|B04-6244762|B04-6244764|B05-6085591|B06-6307732|B97-6207331,,1
100924,100924,,,B01-6387351|B03-6287040|B03-6287084|B06-6270353|B07-6221063|B08-6144137|B09-6248211|B2007-6221577|B94-07348443|B95-6300210|B97-6145223|B97-6597227,,1
102077,102077,,,2010-06-255901|BLG2005-6338438,,1
10259,10259,,,B90-2553359|B99-2036108,,1
10260,10260,,,B00-2352694|B02-2214020|B86-6400875|B93-2132110,,1
10261,10261,,,B00-2352687|B03-3241956|B94-2061091,,1
10262,10262,,,B92-2198177|B97-2076275,,1
10264,10264,,,B01-2137178|B90-2553359,,1
102658,102658,,凡龙.银影,2000-037586|N94-1380745|N96-2394517|N97-2530768|N98-2221756|N99-1870557,凡龙.银影,1
102659,102659,,凡龙.银影,2000-037586|N94-1380745|N96-2394517|N97-2530768|N98-2221756|N99-1870557,凡龙.银影,1
102660,102660,,凡龙.银影,B93-6491235|B97-2544392|N2001-1411356|N82-1181843|N88-2179972,凡龙.银影,1
102696,102696,,吐尼尔,N03-1801966|N04-1323827|N04-1903404|N06-1676733|N86-1411256|N86-1462839|N93-2831900,吐尼尔,1
102706,102706,,胡本,B03-6266193|B05-6166110|B82-6380170|B96-6223094|B98-6594053,胡本,1
102707,102707,,胡本,B98-6594049|B99-6143980,胡本,1
102709,102709,,甘纳斯,N93-9323197,甘纳斯,1
102710,102710,,甘纳斯,03-12-009164|06-12-233513|N93-4053083,甘纳斯,1
102714,102714,,黄金配对,N93-4053083,黄金配对,1
103443,103443,,速霸龙,B01-4241981|B08-4061050|B10-4101114|B94-4421875|B99-4393519|N08-2048793,速霸龙,1
103892,103892,,,05-03-026553|06-27-000136,,1
103905,103905,,,06-27-000037,,1
103909,103909,,,06-27-000037,,1
103910,103910,,,06-03-026553|06-27-000136,,1
103911,103911,,,05-27-000020|08-06-039298,,1
103919,103919,,,08-06-039092|09-06-159842,,1
103920,103920,,,06-06-143002|06-27-003778,,1
103990,103990,,,B04-6315208|B06-6307566|B2007-6390939|BLG1999-6340994|BLG1999-6343940|N10-1173488,,1
104012,104012,,,06-27-000100|07-27-000046,,1
104014,104014,,,04-03-062182|06-27-000136,,1
105506,105506,,,2011-19-197623|B04-6315208|B05-6452484|B06-6109512|B06-6307566|B81-6600376|B84-6698864|B90-6501296|B93-6501202|B94-6380208|B94-6633774|B95-6471492|B98-6483700|B99-6340994|N10-1173488,,1
10610,10610,,纯杨·龚多拉斯,B98-2214187,纯杨·龚多拉斯,1
107770,107770,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937,,1
109511,109511,,,BLG80-3250688|BLG89-3119013|BLG91-3204036|BLG93-3050055|BLG96-9148085|BLG97-3157289|BLG98-3158360,,1
109514,109514,,,BLG88-3206112|BLG93-3050055|BLG93-3354339|BLG96-9148085|BLG98-3158360|BLG98-3158402,,1
109515,109515,,,BLG80-3250688|BLG89-3119013|BLG91-3204036|BLG93-3050055|BLG96-9148085|BLG97-3157289|BLG98-3158360,,1
