img_id,status,cx,cy,r_inner,r_outer
100009,success,567,622,237,614
100201,success,143,134,68,112
100205,success,149,139,46,123
10045,success,261,170,60,115
100459,success,172,162,80,131
100460,success,152,161,81,136
100510,success,256,260,131,169
100535,success,126,130,56,108
100583,success,186,216,72,197
100585,success,191,233,109,173
100589,success,102,118,34,72
100591,success,146,144,62,96
100614,success,123,130,68,104
100767,success,205,218,111,137
100867,success,76,194,50,169
100870,success,212,230,106,130
100900,success,177,208,64,148
100924,success,138,144,65,89
101010,success,191,175,99,167
101015,success,206,203,92,126
101048,success,84,218,58,134
101069,success,86,212,65,155
101074,success,54,216,82,133
101103,success,137,143,63,83
101115,success,115,62,25,72
101124,success,132,97,23,62
101126,success,68,72,18,51
101192,success,185,176,78,138
10164,success,222,263,108,169
101728,success,280,213,64,121
101747,success,130,139,68,122
101762,success,126,131,61,103
101860,success,95,108,63,84
101911,success,370,97,48,131
101924,success,192,238,105,130
101925,success,91,170,71,160
101942,success,98,228,55,179
102077,success,74,184,65,154
102111,success,206,172,87,120
102332,success,406,436,207,262
102335,success,186,216,92,141
10259,success,111,126,63,89
10260,success,112,132,56,87
10261,success,128,116,56,116
10262,success,110,108,30,90
10264,success,120,128,64,94
102658,success,322,185,47,164
102659,success,164,180,91,130
102660,success,56,174,45,175
102694,success,92,80,39,55
102696,success,73,98,26,96
102706,success,85,78,40,58
102707,success,316,196,57,170
102709,success,275,85,77,115
102710,success,216,169,91,166
102711,success,263,54,74,132
102712,success,178,198,92,145
102713,success,130,118,67,106
102714,success,84,70,33,56
102716,success,126,97,47,92
102717,success,348,118,49,157
102719,success,362,44,62,172
102745,success,424,404,179,263
102798,success,244,238,105,129
102800,success,212,309,62,185
102803,success,84,188,53,161
102804,success,96,202,82,152
102847,success,130,159,70,105
102963,success,173,202,90,126
103074,success,861,769,148,378
103085,success,522,44,131,289
103099,success,142,183,71,139
103100,success,137,135,69,120
103224,success,344,393,193,237
103245,success,238,268,138,196
103380,success,219,238,111,136
103403,success,249,295,113,216
103442,success,148,183,65,109
103443,success,178,196,95,118
103570,success,248,262,51,125
103631,success,311,308,72,150
10379,success,86,91,46,116
103833,success,300,325,181,297
103892,success,385,234,72,209
103905,success,212,244,129,205
103909,success,214,243,126,202
103910,success,228,259,129,188
103911,success,446,272,61,258
103913,success,216,444,78,198
103919,success,216,253,101,167
103920,success,206,246,123,188
103976,success,172,194,89,152
103979,success,74,110,29,80
103990,success,118,137,70,92
104012,success,234,242,127,177
104014,success,258,258,134,229
104084,success,188,222,108,152
104100,success,214,138,46,95
104103,success,207,236,98,172
10414,success,158,134,48,94
104537,success,226,280,121,170
104653,success,300,262,113,221
104658,success,288,367,142,246
10466,success,140,240,56,108
104744,success,204,190,40,104
104745,success,196,188,55,90
104751,success,184,180,29,93
104758,success,94,191,46,113
104768,success,111,144,56,118
104854,success,139,158,68,136
104855,success,136,156,63,124
104963,success,155,146,70,85
10497,success,193,172,92,117
105026,success,228,148,52,111
105041,success,135,161,61,155
105125,success,187,88,29,87
105407,success,179,198,70,161
105408,success,132,116,59,100
105409,success,136,126,67,129
105411,success,158,120,54,141
105430,success,131,128,63,125
105431,success,190,118,46,106
105501,success,216,156,34,100
105503,success,220,136,49,108
105506,success,146,154,79,102
105578,success,184,206,96,143
10558,success,156,243,38,124
105765,success,592,589,90,300
105915,success,115,111,46,94
105941,success,283,329,155,195
105951,success,138,230,70,154
106047,success,368,206,58,188
106059,success,172,222,96,140
106064,success,180,224,111,154
10610,success,122,125,59,94
106333,success,521,366,103,197
106470,success,208,179,97,170
10649,success,180,193,73,172
10650,success,188,200,33,94
106502,success,114,84,56,81
10651,success,170,172,97,149
106511,success,78,189,56,89
106515,success,166,102,42,82
10653,success,164,177,93,127
10658,success,170,172,91,137
10666,success,174,163,93,117
106688,success,112,334,131,324
106693,success,126,386,162,333
106694,success,380,344,124,219
106737,success,152,108,33,80
106742,success,104,136,58,79
106744,success,108,129,53,85
106807,success,244,224,70,124
106814,success,147,332,141,216
106815,success,351,392,150,334
106819,success,367,371,140,219
106825,success,387,350,172,219
106829,success,348,330,175,222
10685,success,242,198,34,121
106932,success,79,180,49,141
107109,success,164,200,87,142
107113,success,130,119,38,94
107114,success,106,123,54,98
107115,success,212,178,58,103
107118,success,161,182,58,140
107119,success,147,188,70,160
107216,success,236,216,58,119
107327,success,392,437,154,227
107386,success,154,180,66,132
107404,success,170,160,82,128
107418,success,186,185,72,143
107467,success,229,264,123,148
107471,success,206,242,90,157
107572,success,237,185,57,115
107576,success,242,159,63,114
107584,success,248,198,70,125
10764,success,202,305,42,190
10765,success,181,318,73,182
107770,success,151,130,80,105
107779,success,246,184,42,131
107786,success,256,188,53,122
108048,success,130,99,36,78
108058,success,82,140,46,119
108059,success,136,110,61,93
108061,success,142,93,54,88
108067,success,126,130,61,113
108068,success,135,116,58,81
108069,success,93,73,48,96
108073,success,182,124,60,79
108074,success,135,124,65,80
108075,success,187,170,30,93
108076,success,162,134,65,82
108078,success,130,121,61,115
108084,success,207,149,32,95
108092,success,158,84,43,97
108105,success,140,106,63,82
108144,success,346,289,122,203
108218,success,303,340,131,203
108260,success,394,362,130,213
108261,success,405,372,153,218
108265,success,104,258,65,90
108266,success,76,122,52,109
108267,success,96,136,30,89
108268,success,84,132,36,87
108270,success,80,105,29,85
108271,success,126,117,63,101
108273,success,130,114,58,85
108274,success,157,129,61,82
108275,success,132,120,48,100
108319,success,362,380,135,212
108322,success,353,358,144,220
108330,success,350,347,160,212
108331,success,387,367,144,220
108332,success,374,350,175,216
108333,success,382,336,166,240
108334,success,134,358,138,223
108335,success,343,386,152,216
108341,success,340,366,142,213
108348,success,394,393,174,211
108353,success,375,383,176,213
108357,success,392,388,165,215
108490,success,357,380,127,214
108526,success,228,212,100,134
108636,success,250,261,137,220
108638,success,180,320,70,267
108646,success,286,309,148,188
108650,success,178,170,83,140
108653,success,238,182,41,130
108786,success,88,100,55,96
108787,success,104,101,50,93
108817,success,116,236,75,187
108818,success,204,212,111,154
108912,success,248,185,55,131
108984,success,110,86,63,83
108987,success,146,132,47,120
108988,success,118,108,53,69
108990,success,88,127,43,95
108992,success,94,104,27,89
108993,success,78,138,39,104
108994,success,92,142,46,129
108996,success,160,116,65,94
108997,success,77,114,33,94
108998,success,178,132,61,96
108999,success,199,136,31,107
109001,success,167,130,57,111
109003,success,68,114,51,76
109006,success,368,388,88,218
109010,success,382,344,104,348
109161,success,178,95,43,76
109402,success,146,144,114,196
109511,success,142,150,75,142
109514,success,143,128,75,116
109515,success,212,60,56,98
109586,success,362,220,79,196
109600,success,226,306,105,184
109638,success,440,408,175,278
109639,success,120,290,91,172
109640,success,330,362,169,214
109646,success,170,160,62,153
109674,success,382,356,174,211
109797,success,76,129,32,81
109800,success,68,96,30,99
109805,success,114,122,56,106
109810,success,366,78,78,149
109816,success,190,196,61,172
109817,success,166,142,92,164
109819,success,192,67,44,117
109820,success,210,76,44,96
109905,success,160,108,121,152
109927,success,249,245,123,222
109952,success,216,144,36,101
109970,success,170,195,95,143
110016,success,196,194,81,109
110018,success,189,184,66,131
110019,success,86,58,55,99
110020,success,220,246,112,200
110021,success,102,230,74,207
110024,success,116,115,32,102
110027,success,114,118,40,101
110085,success,172,116,38,73
110114,success,96,128,49,74
110116,success,130,128,65,115
110117,success,160,108,57,85
110118,success,175,123,26,109
110137,success,191,88,69,143
110138,success,80,100,42,106
110154,success,119,114,51,191
110224,success,196,205,82,132
110480,success,275,118,58,128
110486,success,202,304,59,118
11064,success,88,108,46,86
110676,success,154,190,81,154
110705,success,176,184,87,118
110706,success,165,214,86,132
110707,success,293,142,50,138
110848,success,82,98,63,94
110849,success,144,74,31,105
110850,success,136,154,70,88
110879,success,86,92,55,118
111065,success,130,126,57,82
111074,success,725,131,202,327
111079,success,381,486,169,252
111081,success,728,113,188,282
111087,success,365,226,59,180
111091,success,50,60,26,45
111110,success,78,82,28,74
111137,success,442,172,155,432
111163,success,473,456,272,330
111269,success,196,384,83,303
111314,success,155,144,74,134
111337,success,132,96,34,77
111341,success,114,93,44,77
111347,success,100,118,29,70
111355,success,269,198,114,189
111357,success,108,123,60,94
111582,success,222,246,98,134
111583,success,250,263,116,146
111730,success,152,160,75,144
111808,success,218,210,46,105
111809,success,230,162,62,102
111831,success,112,200,39,84
111834,success,660,373,96,240
111838,success,267,278,78,150
111840,success,253,258,61,114
111841,success,292,294,73,141
111842,success,116,114,55,68
111843,success,279,283,61,133
111844,success,306,294,54,129
111845,success,131,123,58,73
111847,success,130,138,61,101
111853,success,141,124,29,98
111854,success,160,124,30,98
111857,success,150,131,44,92
111859,success,160,141,65,82
111860,success,210,76,44,96
111864,success,229,103,66,131
111868,success,146,143,58,86
111869,success,152,140,62,82
111886,success,148,174,91,146
111887,success,208,220,88,113
111890,success,65,69,27,59
111971,success,111,166,38,112
112069,success,204,176,97,138
112077,success,132,235,101,225
112079,success,478,310,85,246
112081,success,105,116,37,93
112093,success,246,156,36,111
112113,success,70,83,37,52
112118,success,344,98,46,195
112119,success,90,109,61,140
112120,success,383,234,64,227
112121,success,295,72,57,127
112122,success,300,75,76,130
112123,success,252,241,112,140
112125,success,343,182,44,186
112230,success,63,174,67,156
112289,success,310,255,138,173
11229,success,226,226,44,108
112402,success,293,326,143,184
112409,success,330,301,155,188
112435,success,80,74,37,67
11246,success,272,227,39,132
11250,success,221,202,42,103
112601,success,90,76,23,56
112609,success,433,258,96,234
112697,success,202,198,89,190
112699,success,211,217,124,188
1127,success,233,192,86,166
112735,success,484,283,125,272
112792,success,156,150,75,110
112868,success,280,328,136,223
112881,success,118,110,63,121
112944,success,208,56,41,95
112995,success,506,336,104,261
113049,success,118,114,50,94
113052,success,448,336,182,226
113054,success,629,396,95,244
113139,success,156,198,87,109
113148,success,163,164,70,160
113229,success,176,129,29,106
113249,success,54,104,78,156
113297,success,114,168,56,132
113325,success,207,210,56,91
113353,success,76,252,55,220
113440,success,449,354,203,246
113441,success,658,491,115,370
113454,success,85,114,74,133
113483,success,300,180,54,175
113538,success,210,202,72,183
113550,success,218,250,118,166
113551,success,239,230,125,152
113560,success,239,237,123,216
113562,success,208,246,97,183
113567,success,190,180,96,166
113598,success,276,258,56,110
113819,success,247,175,49,114
113824,success,382,394,194,234
113852,success,162,176,84,168
113855,success,148,160,84,132
113862,success,160,193,84,129
113863,success,156,222,92,115
113894,success,166,164,65,140
113927,success,196,159,91,112
113951,success,666,403,155,235
113953,success,151,158,71,140
113961,success,124,160,75,99
113969,success,150,180,70,136
114041,success,118,100,34,78
114043,success,217,149,55,103
114143,success,217,168,42,110
114144,success,236,188,60,112
114188,success,318,146,70,141
114201,success,205,212,112,147
114262,success,210,203,82,133
114265,success,214,172,91,142
114269,success,258,84,68,121
